MWP,SubjectID,Seed,Room,Date,ExpInitials,Compliance,Notes
MWP2,MWP201,201,Kramer,3/7/14,NS,5,
MWP2,MWP202,202,George,3/7/14,NS,5,
MWP2,MWP203,202,George,3/7/14,WR,5,aftsineF_MWP203
MWP2,MWP204,204,Elaine,3/7/14,WR,5,"aftsineF_MWP204; some misunderstanding w/ aftsine directions, was hitting space when it was most colorful, didn't catch it til near the end"
MWP2,MWP205a,205,Jerry,3/7/14,WR,5,"went late (slowly read whole consent form and directions), not enough time for aftsine"
MWP2,MWP206,206,Kramer,3/7/14,WR,5,aftsineF_MWP206
MWP2,MWP207,207,George,3/7/14,WR,5,aftsineF_MWP207
MWP2,MWP208,208,Elaine,3/7/14,WR,5,aftsineF_MWP208
MWP2,MWP209,209,Kramer,3/7/14,PME,5,aftsineF_MWP209
MWP2,MWP210,210,George,3/7/14,PME,5,
MWP2,MWP211,211,Elaine,3/7/14,PME,5,
MWP2,MWP212,212,Jerry,3/7/14,PME,5,
MWP2,MWP213,213,Kramer,3/7/14,PME,5,started without asking
MWP2,MWP214,214,Kramer,3/14/14,wr,5,"aftsineF_MWP214 ; not sure what seed aftsine was supposed to be on, just set it to 214"
MWP2,MWP215,215,George,3/14/14,wr,5,
MWP2,MWP216,216,Jerry,3/14/14,wr,5,aftsineF_MWP216 ; seed 216
MWP2,MWP217,217,George,3/14/14,wr,5,
MWP2,MWP218,218,Kramer,3/14/14,wr,5,
MWP2,MWP219,219,George,4/25/14,PME,5,
MWP2,MWP220,220,Jerry,4/25/14,PME,5,
MWP2,MWP221,221,Kramer,4/25/14,HW,5,
MWP2,MWP222,222,Kramer,5/5/14,PME,5,
MWP2,MWP223,223,George,5/5/14,PME,5,
MWP2,MWP224,224,Elaine,5/5/14,PME,5,
MWP2,MWP225,225,Jerry,5/5/14,PME,5,
