block_ix,trial_ix,is_cue_valid,cue_type,is_cue_masked,up_pic,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,-1,noise,1,left,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
-1,-9,0,invalid,0,right,snowman,210,4,snowman_4.wav,chair,53,chair.bmp
-1,-8,-1,noise,1,right,noise,-1,1,noise.wav,pear,166,pear.bmp
-1,-7,-1,noise,0,right,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
-1,-6,1,valid,0,left,tiger,233,2,tiger_2.wav,tiger,233,tiger.bmp
-1,-5,1,valid,1,left,giraffe,103,4,giraffe_4.wav,giraffe,103,giraffe.bmp
-1,-4,-1,noise,1,right,noise,-1,1,noise.wav,snowman,210,snowman.bmp
-1,-3,1,valid,0,right,chicken,55,2,chicken_2.wav,chicken,55,chicken.bmp
-1,-2,1,valid,1,right,bee,23,4,bee_4.wav,bee,23,bee.bmp
-1,-1,1,valid,1,left,grasshopper,110,4,grasshopper_4.wav,grasshopper,110,grasshopper.bmp
0,0,-1,noise,0,right,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,1,-1,noise,0,right,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,2,1,valid,0,right,tiger,233,1,tiger_1.wav,tiger,233,tiger.bmp
0,3,1,valid,1,left,chair,53,2,chair_2.wav,chair,53,chair.bmp
0,4,1,valid,0,right,chicken,55,2,chicken_2.wav,chicken,55,chicken.bmp
0,5,-1,noise,1,right,noise,-1,1,noise.wav,giraffe,103,giraffe.bmp
0,6,-1,noise,1,right,noise,-1,1,noise.wav,snowman,210,snowman.bmp
0,7,-1,noise,1,left,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,8,-1,noise,0,left,noise,-1,1,noise.wav,giraffe,103,giraffe.bmp
0,9,1,valid,0,left,bee,23,3,bee_3.wav,bee,23,bee.bmp
0,10,0,invalid,1,left,pear,166,3,pear_3.wav,giraffe,103,giraffe.bmp
0,11,-1,noise,1,right,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,12,0,invalid,0,left,tiger,233,1,tiger_1.wav,pear,166,pear.bmp
0,13,0,invalid,1,left,grasshopper,110,4,grasshopper_4.wav,tiger,233,tiger.bmp
