block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,mask_type,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,noise,-1,0,right,nomask,noise,-1,1,noise.wav,piano,171,piano.bmp
-1,-9,valid,1,0,left,nomask,skunk,206,1,skunk_1.wav,skunk,206,skunk.bmp
-1,-8,noise,-1,1,right,visual,noise,-1,1,noise.wav,leopard,136,leopard.bmp
-1,-7,invalid,0,1,left,auditory,leopard,136,3,leopard_3.wav,swan,223,swan.bmp
-1,-6,noise,-1,0,left,nomask,noise,-1,1,noise.wav,bottle,32,bottle.bmp
-1,-5,valid,1,0,right,nomask,gorilla,108,4,gorilla_4.wav,gorilla,108,gorilla.bmp
-1,-4,invalid,0,0,right,nomask,skunk,206,4,skunk_4.wav,donkey,75,donkey.bmp
-1,-3,noise,-1,0,left,nomask,noise,-1,1,noise.wav,mouse,149,mouse.bmp
-1,-2,valid,1,1,right,auditory,penguin,169,1,penguin_1.wav,penguin,169,penguin.bmp
-1,-1,valid,1,1,right,auditory,kangaroo,126,2,kangaroo_2.wav,kangaroo,126,kangaroo.bmp
0,0,valid,1,0,right,nomask,mouse,149,4,mouse_4.wav,mouse,149,mouse.bmp
0,1,invalid,0,0,left,nomask,swan,223,2,swan_2.wav,piano,171,piano.bmp
0,2,valid,1,1,left,auditory,mouse,149,3,mouse_3.wav,mouse,149,mouse.bmp
0,3,noise,-1,0,left,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,4,valid,1,1,right,auditory,piano,171,4,piano_4.wav,piano,171,piano.bmp
0,5,noise,-1,0,left,nomask,noise,-1,1,noise.wav,bottle,32,bottle.bmp
0,6,valid,1,0,right,nomask,kangaroo,126,4,kangaroo_4.wav,kangaroo,126,kangaroo.bmp
0,7,noise,-1,0,left,nomask,noise,-1,1,noise.wav,bottle,32,bottle.bmp
0,8,valid,1,1,right,auditory,leopard,136,3,leopard_3.wav,leopard,136,leopard.bmp
0,9,noise,-1,1,right,auditory,noise,-1,1,noise.wav,swan,223,swan.bmp
0,10,valid,1,1,left,auditory,bottle,32,1,bottle_1.wav,bottle,32,bottle.bmp
0,11,valid,1,0,left,nomask,kangaroo,126,1,kangaroo_1.wav,kangaroo,126,kangaroo.bmp
0,12,noise,-1,0,right,nomask,noise,-1,1,noise.wav,penguin,169,penguin.bmp
0,13,noise,-1,0,left,nomask,noise,-1,1,noise.wav,bottle,32,bottle.bmp
0,14,noise,-1,0,left,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,15,noise,-1,0,left,nomask,noise,-1,1,noise.wav,piano,171,piano.bmp
