pic_id,pic,pic_file
3,alligator,alligator.bmp
6,apple,apple.bmp
23,bee,bee.bmp
32,bottle,bottle.bmp
43,camel,camel.bmp
53,chair,chair.bmp
55,chicken,chicken.bmp
71,deer,deer.bmp
73,dog,dog.bmp
75,donkey,donkey.bmp
84,elephant,elephant.bmp
103,giraffe,giraffe.bmp
108,gorilla,gorilla.bmp
110,grasshopper,grasshopper.bmp
119,heart,heart.bmp
126,kangaroo,kangaroo.bmp
136,leopard,leopard.bmp
140,lion,lion.bmp
149,mouse,mouse.bmp
166,pear,pear.bmp
169,penguin,penguin.bmp
171,piano,piano.bmp
172,pig,pig.bmp
173,pineapple,pineapple.bmp
182,rabbit,rabbit.bmp
183,raccoon,raccoon.bmp
186,rhinoceros,rhinoceros.bmp
194,saltshaker,saltshaker.bmp
206,skunk,skunk.bmp
210,snowman,snowman.bmp
220,strawberry,strawberry.bmp
223,swan,swan.bmp
226,table,table.bmp
233,tiger,tiger.bmp
236,tomato,tomato.bmp
241,tree,tree.bmp
258,wine_glass,wine_glass.bmp
260,zebra,zebra.bmp
