block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,mask_type,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,valid,1,0,left,nomask,table,226,4,table_4.wav,table,226,table.bmp
-1,-9,valid,1,1,right,auditory,swan,223,3,swan_3.wav,swan,223,swan.bmp
-1,-8,noise,-1,0,right,nomask,noise,-1,1,noise.wav,deer,71,deer.bmp
-1,-7,noise,-1,1,right,auditory,noise,-1,1,noise.wav,donkey,75,donkey.bmp
-1,-6,valid,1,1,left,visual,lion,140,4,lion_4.wav,lion,140,lion.bmp
-1,-5,valid,1,1,left,visual,tree,241,4,tree_4.wav,tree,241,tree.bmp
-1,-4,valid,1,1,left,visual,rabbit,182,4,rabbit_4.wav,rabbit,182,rabbit.bmp
-1,-3,valid,1,1,left,auditory,gorilla,108,1,gorilla_1.wav,gorilla,108,gorilla.bmp
-1,-2,noise,-1,0,right,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
-1,-1,noise,-1,1,left,auditory,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,0,noise,-1,0,left,nomask,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,1,invalid,0,1,right,auditory,gorilla,108,2,gorilla_2.wav,tree,241,tree.bmp
0,2,invalid,0,0,left,nomask,deer,71,1,deer_1.wav,zebra,260,zebra.bmp
0,3,noise,-1,1,left,auditory,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,4,noise,-1,1,right,visual,noise,-1,1,noise.wav,table,226,table.bmp
0,5,noise,-1,1,right,visual,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,6,noise,-1,0,right,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,7,noise,-1,0,left,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,8,noise,-1,0,left,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
0,9,valid,1,1,left,visual,tree,241,4,tree_4.wav,tree,241,tree.bmp
0,10,valid,1,1,left,visual,rabbit,182,1,rabbit_1.wav,rabbit,182,rabbit.bmp
0,11,noise,-1,1,left,auditory,noise,-1,1,noise.wav,tree,241,tree.bmp
0,12,valid,1,0,left,nomask,donkey,75,2,donkey_2.wav,donkey,75,donkey.bmp
0,13,noise,-1,1,left,auditory,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,14,valid,1,1,right,auditory,kangaroo,126,1,kangaroo_1.wav,kangaroo,126,kangaroo.bmp
0,15,valid,1,0,left,nomask,lion,140,3,lion_3.wav,lion,140,lion.bmp
0,16,valid,1,1,right,auditory,gorilla,108,1,gorilla_1.wav,gorilla,108,gorilla.bmp
0,17,noise,-1,1,right,auditory,noise,-1,1,noise.wav,deer,71,deer.bmp
0,18,noise,-1,1,right,auditory,noise,-1,1,noise.wav,lion,140,lion.bmp
0,19,valid,1,1,right,visual,deer,71,3,deer_3.wav,deer,71,deer.bmp
0,20,noise,-1,1,left,visual,noise,-1,1,noise.wav,tree,241,tree.bmp
0,21,noise,-1,1,right,visual,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,22,invalid,0,1,right,auditory,table,226,3,table_3.wav,kangaroo,126,kangaroo.bmp
0,23,noise,-1,0,right,nomask,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,24,valid,1,0,left,nomask,deer,71,4,deer_4.wav,deer,71,deer.bmp
0,25,noise,-1,0,right,nomask,noise,-1,1,noise.wav,table,226,table.bmp
0,26,noise,-1,1,right,auditory,noise,-1,1,noise.wav,deer,71,deer.bmp
0,27,noise,-1,1,right,visual,noise,-1,1,noise.wav,zebra,260,zebra.bmp
0,28,valid,1,1,right,auditory,table,226,1,table_1.wav,table,226,table.bmp
0,29,invalid,0,1,left,visual,tree,241,2,tree_2.wav,kangaroo,126,kangaroo.bmp
0,30,valid,1,1,left,visual,gorilla,108,3,gorilla_3.wav,gorilla,108,gorilla.bmp
0,31,noise,-1,1,right,visual,noise,-1,1,noise.wav,lion,140,lion.bmp
0,32,noise,-1,1,left,auditory,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,33,valid,1,0,right,nomask,kangaroo,126,2,kangaroo_2.wav,kangaroo,126,kangaroo.bmp
0,34,noise,-1,1,right,visual,noise,-1,1,noise.wav,deer,71,deer.bmp
0,35,invalid,0,1,left,auditory,swan,223,1,swan_1.wav,table,226,table.bmp
0,36,valid,1,0,right,nomask,rabbit,182,2,rabbit_2.wav,rabbit,182,rabbit.bmp
0,37,noise,-1,1,left,visual,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,38,valid,1,1,left,auditory,tree,241,2,tree_2.wav,tree,241,tree.bmp
0,39,noise,-1,1,right,auditory,noise,-1,1,noise.wav,table,226,table.bmp
0,40,noise,-1,0,right,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,41,valid,1,1,left,auditory,donkey,75,1,donkey_1.wav,donkey,75,donkey.bmp
0,42,invalid,0,1,right,visual,rabbit,182,4,rabbit_4.wav,swan,223,swan.bmp
0,43,noise,-1,0,right,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,44,noise,-1,0,right,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,45,noise,-1,0,right,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
0,46,noise,-1,1,left,visual,noise,-1,1,noise.wav,swan,223,swan.bmp
0,47,noise,-1,0,right,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,48,noise,-1,0,left,nomask,noise,-1,1,noise.wav,deer,71,deer.bmp
0,49,valid,1,0,left,nomask,tree,241,1,tree_1.wav,tree,241,tree.bmp
0,50,invalid,0,0,left,nomask,table,226,3,table_3.wav,deer,71,deer.bmp
0,51,noise,-1,0,left,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,52,valid,1,0,left,nomask,gorilla,108,1,gorilla_1.wav,gorilla,108,gorilla.bmp
0,53,noise,-1,1,left,auditory,noise,-1,1,noise.wav,swan,223,swan.bmp
0,54,valid,1,1,left,visual,zebra,260,4,zebra_4.wav,zebra,260,zebra.bmp
0,55,noise,-1,0,left,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,56,invalid,0,1,left,visual,table,226,2,table_2.wav,gorilla,108,gorilla.bmp
0,57,noise,-1,1,left,auditory,noise,-1,1,noise.wav,donkey,75,donkey.bmp
0,58,valid,1,0,right,nomask,rabbit,182,4,rabbit_4.wav,rabbit,182,rabbit.bmp
0,59,valid,1,0,left,nomask,table,226,4,table_4.wav,table,226,table.bmp
0,60,noise,-1,0,left,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
0,61,noise,-1,1,left,visual,noise,-1,1,noise.wav,tree,241,tree.bmp
0,62,noise,-1,1,left,auditory,noise,-1,1,noise.wav,lion,140,lion.bmp
0,63,valid,1,0,left,nomask,tree,241,3,tree_3.wav,tree,241,tree.bmp
0,64,noise,-1,0,right,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
0,65,noise,-1,1,right,auditory,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,66,noise,-1,1,left,visual,noise,-1,1,noise.wav,zebra,260,zebra.bmp
0,67,valid,1,1,right,auditory,deer,71,3,deer_3.wav,deer,71,deer.bmp
0,68,invalid,0,0,right,nomask,gorilla,108,4,gorilla_4.wav,rabbit,182,rabbit.bmp
0,69,valid,1,0,left,nomask,table,226,3,table_3.wav,table,226,table.bmp
0,70,valid,1,0,left,nomask,gorilla,108,4,gorilla_4.wav,gorilla,108,gorilla.bmp
0,71,noise,-1,0,right,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
0,72,valid,1,0,left,nomask,deer,71,2,deer_2.wav,deer,71,deer.bmp
0,73,invalid,0,0,right,nomask,tree,241,2,tree_2.wav,swan,223,swan.bmp
0,74,invalid,0,0,left,nomask,lion,140,1,lion_1.wav,table,226,table.bmp
0,75,invalid,0,1,right,visual,kangaroo,126,3,kangaroo_3.wav,lion,140,lion.bmp
0,76,valid,1,0,right,nomask,zebra,260,2,zebra_2.wav,zebra,260,zebra.bmp
0,77,valid,1,0,right,nomask,swan,223,3,swan_3.wav,swan,223,swan.bmp
0,78,valid,1,0,left,nomask,kangaroo,126,3,kangaroo_3.wav,kangaroo,126,kangaroo.bmp
0,79,noise,-1,0,left,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
0,80,noise,-1,0,right,nomask,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,81,noise,-1,1,right,visual,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,82,valid,1,1,left,auditory,swan,223,2,swan_2.wav,swan,223,swan.bmp
0,83,valid,1,1,right,visual,zebra,260,2,zebra_2.wav,zebra,260,zebra.bmp
0,84,valid,1,1,left,visual,donkey,75,4,donkey_4.wav,donkey,75,donkey.bmp
0,85,noise,-1,0,right,nomask,noise,-1,1,noise.wav,tree,241,tree.bmp
0,86,noise,-1,1,right,visual,noise,-1,1,noise.wav,swan,223,swan.bmp
0,87,noise,-1,0,right,nomask,noise,-1,1,noise.wav,tree,241,tree.bmp
0,88,noise,-1,1,right,visual,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,89,invalid,0,1,left,visual,donkey,75,4,donkey_4.wav,zebra,260,zebra.bmp
0,90,noise,-1,0,right,nomask,noise,-1,1,noise.wav,deer,71,deer.bmp
0,91,valid,1,0,right,nomask,donkey,75,4,donkey_4.wav,donkey,75,donkey.bmp
0,92,noise,-1,1,right,visual,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,93,noise,-1,0,right,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,94,noise,-1,1,right,auditory,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,95,valid,1,1,left,visual,lion,140,2,lion_2.wav,lion,140,lion.bmp
0,96,valid,1,1,right,visual,swan,223,4,swan_4.wav,swan,223,swan.bmp
0,97,noise,-1,0,left,nomask,noise,-1,1,noise.wav,table,226,table.bmp
0,98,valid,1,1,right,auditory,rabbit,182,4,rabbit_4.wav,rabbit,182,rabbit.bmp
0,99,noise,-1,1,right,auditory,noise,-1,1,noise.wav,table,226,table.bmp
0,100,valid,1,1,left,auditory,lion,140,4,lion_4.wav,lion,140,lion.bmp
0,101,valid,1,1,left,visual,deer,71,4,deer_4.wav,deer,71,deer.bmp
0,102,invalid,0,1,left,visual,kangaroo,126,3,kangaroo_3.wav,donkey,75,donkey.bmp
0,103,invalid,0,0,left,nomask,zebra,260,4,zebra_4.wav,lion,140,lion.bmp
0,104,valid,1,1,left,auditory,zebra,260,2,zebra_2.wav,zebra,260,zebra.bmp
0,105,noise,-1,0,right,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
0,106,noise,-1,0,right,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
1,107,noise,-1,0,right,nomask,noise,-1,1,noise.wav,table,226,table.bmp
1,108,valid,1,0,right,nomask,deer,71,1,deer_1.wav,deer,71,deer.bmp
1,109,valid,1,0,left,nomask,deer,71,2,deer_2.wav,deer,71,deer.bmp
1,110,valid,1,0,right,nomask,swan,223,1,swan_1.wav,swan,223,swan.bmp
1,111,noise,-1,1,right,visual,noise,-1,1,noise.wav,table,226,table.bmp
1,112,valid,1,0,right,nomask,tree,241,2,tree_2.wav,tree,241,tree.bmp
1,113,invalid,0,1,left,auditory,deer,71,3,deer_3.wav,rabbit,182,rabbit.bmp
1,114,noise,-1,0,left,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
1,115,noise,-1,0,right,nomask,noise,-1,1,noise.wav,table,226,table.bmp
1,116,noise,-1,1,right,auditory,noise,-1,1,noise.wav,zebra,260,zebra.bmp
1,117,valid,1,1,left,visual,swan,223,2,swan_2.wav,swan,223,swan.bmp
1,118,noise,-1,1,right,auditory,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
1,119,noise,-1,0,left,nomask,noise,-1,1,noise.wav,deer,71,deer.bmp
1,120,noise,-1,1,right,visual,noise,-1,1,noise.wav,lion,140,lion.bmp
1,121,valid,1,1,right,auditory,swan,223,4,swan_4.wav,swan,223,swan.bmp
1,122,noise,-1,1,left,auditory,noise,-1,1,noise.wav,lion,140,lion.bmp
1,123,valid,1,1,right,visual,zebra,260,3,zebra_3.wav,zebra,260,zebra.bmp
1,124,noise,-1,1,left,visual,noise,-1,1,noise.wav,lion,140,lion.bmp
1,125,valid,1,1,right,auditory,table,226,1,table_1.wav,table,226,table.bmp
1,126,invalid,0,0,right,nomask,tree,241,4,tree_4.wav,zebra,260,zebra.bmp
1,127,noise,-1,1,right,visual,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
1,128,noise,-1,1,left,visual,noise,-1,1,noise.wav,deer,71,deer.bmp
1,129,valid,1,1,right,visual,donkey,75,2,donkey_2.wav,donkey,75,donkey.bmp
1,130,noise,-1,0,right,nomask,noise,-1,1,noise.wav,deer,71,deer.bmp
1,131,noise,-1,0,left,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
1,132,noise,-1,0,left,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
1,133,noise,-1,0,left,nomask,noise,-1,1,noise.wav,tree,241,tree.bmp
1,134,noise,-1,1,left,auditory,noise,-1,1,noise.wav,deer,71,deer.bmp
1,135,noise,-1,1,right,visual,noise,-1,1,noise.wav,zebra,260,zebra.bmp
1,136,valid,1,0,right,nomask,rabbit,182,1,rabbit_1.wav,rabbit,182,rabbit.bmp
1,137,valid,1,1,left,auditory,donkey,75,1,donkey_1.wav,donkey,75,donkey.bmp
1,138,invalid,0,0,left,nomask,table,226,4,table_4.wav,gorilla,108,gorilla.bmp
1,139,valid,1,0,right,nomask,zebra,260,4,zebra_4.wav,zebra,260,zebra.bmp
1,140,noise,-1,0,right,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
1,141,valid,1,0,left,nomask,donkey,75,4,donkey_4.wav,donkey,75,donkey.bmp
1,142,invalid,0,0,right,nomask,deer,71,1,deer_1.wav,kangaroo,126,kangaroo.bmp
1,143,valid,1,1,left,visual,rabbit,182,4,rabbit_4.wav,rabbit,182,rabbit.bmp
1,144,noise,-1,1,left,visual,noise,-1,1,noise.wav,table,226,table.bmp
1,145,valid,1,0,left,nomask,lion,140,2,lion_2.wav,lion,140,lion.bmp
1,146,valid,1,0,right,nomask,table,226,2,table_2.wav,table,226,table.bmp
1,147,valid,1,0,right,nomask,swan,223,4,swan_4.wav,swan,223,swan.bmp
1,148,noise,-1,0,right,nomask,noise,-1,1,noise.wav,table,226,table.bmp
1,149,noise,-1,1,right,auditory,noise,-1,1,noise.wav,swan,223,swan.bmp
1,150,noise,-1,1,right,auditory,noise,-1,1,noise.wav,donkey,75,donkey.bmp
1,151,noise,-1,1,left,auditory,noise,-1,1,noise.wav,zebra,260,zebra.bmp
1,152,noise,-1,0,left,nomask,noise,-1,1,noise.wav,tree,241,tree.bmp
1,153,valid,1,0,right,nomask,zebra,260,4,zebra_4.wav,zebra,260,zebra.bmp
1,154,valid,1,1,right,visual,tree,241,3,tree_3.wav,tree,241,tree.bmp
1,155,valid,1,1,right,visual,gorilla,108,2,gorilla_2.wav,gorilla,108,gorilla.bmp
1,156,valid,1,0,left,nomask,lion,140,4,lion_4.wav,lion,140,lion.bmp
1,157,valid,1,1,right,auditory,deer,71,1,deer_1.wav,deer,71,deer.bmp
1,158,noise,-1,0,right,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
1,159,valid,1,0,right,nomask,deer,71,1,deer_1.wav,deer,71,deer.bmp
1,160,valid,1,1,right,visual,table,226,2,table_2.wav,table,226,table.bmp
1,161,noise,-1,0,left,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
1,162,noise,-1,0,left,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
1,163,valid,1,1,left,visual,kangaroo,126,4,kangaroo_4.wav,kangaroo,126,kangaroo.bmp
1,164,noise,-1,1,left,auditory,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
1,165,valid,1,1,right,auditory,zebra,260,1,zebra_1.wav,zebra,260,zebra.bmp
1,166,noise,-1,0,right,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
1,167,valid,1,0,left,nomask,gorilla,108,2,gorilla_2.wav,gorilla,108,gorilla.bmp
1,168,valid,1,1,left,visual,kangaroo,126,3,kangaroo_3.wav,kangaroo,126,kangaroo.bmp
1,169,invalid,0,0,right,nomask,swan,223,4,swan_4.wav,deer,71,deer.bmp
1,170,valid,1,0,left,nomask,rabbit,182,3,rabbit_3.wav,rabbit,182,rabbit.bmp
1,171,noise,-1,0,right,nomask,noise,-1,1,noise.wav,zebra,260,zebra.bmp
1,172,noise,-1,1,left,auditory,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
1,173,noise,-1,1,right,visual,noise,-1,1,noise.wav,donkey,75,donkey.bmp
1,174,invalid,0,0,left,nomask,deer,71,4,deer_4.wav,rabbit,182,rabbit.bmp
1,175,noise,-1,0,right,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
1,176,noise,-1,0,left,nomask,noise,-1,1,noise.wav,donkey,75,donkey.bmp
1,177,valid,1,0,left,nomask,kangaroo,126,4,kangaroo_4.wav,kangaroo,126,kangaroo.bmp
1,178,noise,-1,1,right,auditory,noise,-1,1,noise.wav,tree,241,tree.bmp
1,179,noise,-1,1,right,auditory,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
1,180,noise,-1,0,right,nomask,noise,-1,1,noise.wav,tree,241,tree.bmp
