block_ix,trial_ix,is_cue_valid,cue_type,is_cue_masked,up_pic,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,0,invalid,1,left,pear,166,3,pear_3.wav,apple,6,apple.bmp
-1,-9,1,valid,1,left,pear,166,1,pear_1.wav,pear,166,pear.bmp
-1,-8,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
-1,-7,1,valid,0,left,swan,223,3,swan_3.wav,swan,223,swan.bmp
-1,-6,-1,noise,0,left,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
-1,-5,1,valid,0,right,dog,73,2,dog_2.wav,dog,73,dog.bmp
-1,-4,1,valid,1,right,chair,53,1,chair_1.wav,chair,53,chair.bmp
-1,-3,-1,noise,1,right,noise,-1,1,noise.wav,tomato,236,tomato.bmp
-1,-2,0,invalid,1,left,wine_glass,258,2,wine_glass_2.wav,tiger,233,tiger.bmp
-1,-1,-1,noise,0,left,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,0,-1,noise,0,left,noise,-1,1,noise.wav,apple,6,apple.bmp
0,1,-1,noise,1,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,2,-1,noise,1,right,noise,-1,1,noise.wav,apple,6,apple.bmp
0,3,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
0,4,1,valid,0,left,pear,166,4,pear_4.wav,pear,166,pear.bmp
0,5,1,valid,1,left,tomato,236,3,tomato_3.wav,tomato,236,tomato.bmp
0,6,-1,noise,1,right,noise,-1,1,noise.wav,chair,53,chair.bmp
0,7,-1,noise,1,left,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,8,-1,noise,0,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,9,0,invalid,0,left,tomato,236,2,tomato_2.wav,dog,73,dog.bmp
0,10,1,valid,0,left,chair,53,1,chair_1.wav,chair,53,chair.bmp
0,11,-1,noise,0,left,noise,-1,1,noise.wav,dog,73,dog.bmp
0,12,1,valid,1,right,wine_glass,258,1,wine_glass_1.wav,wine_glass,258,wine_glass.bmp
0,13,0,invalid,0,right,grasshopper,110,2,grasshopper_2.wav,lion,140,lion.bmp
0,14,-1,noise,1,left,noise,-1,1,noise.wav,apple,6,apple.bmp
0,15,-1,noise,0,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,16,-1,noise,1,right,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,17,1,valid,0,left,chair,53,1,chair_1.wav,chair,53,chair.bmp
0,18,-1,noise,0,left,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,19,-1,noise,0,right,noise,-1,1,noise.wav,pear,166,pear.bmp
0,20,-1,noise,0,right,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,21,1,valid,1,right,swan,223,1,swan_1.wav,swan,223,swan.bmp
0,22,1,valid,1,left,pear,166,1,pear_1.wav,pear,166,pear.bmp
0,23,-1,noise,0,left,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,24,0,invalid,1,right,tomato,236,1,tomato_1.wav,pear,166,pear.bmp
0,25,1,valid,1,left,lion,140,2,lion_2.wav,lion,140,lion.bmp
0,26,-1,noise,1,left,noise,-1,1,noise.wav,chair,53,chair.bmp
0,27,0,invalid,1,left,grasshopper,110,3,grasshopper_3.wav,tomato,236,tomato.bmp
0,28,1,valid,0,left,dog,73,1,dog_1.wav,dog,73,dog.bmp
0,29,1,valid,1,right,apple,6,2,apple_2.wav,apple,6,apple.bmp
0,30,1,valid,1,left,grasshopper,110,4,grasshopper_4.wav,grasshopper,110,grasshopper.bmp
0,31,-1,noise,1,right,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,32,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
0,33,0,invalid,0,right,apple,6,4,apple_4.wav,tiger,233,tiger.bmp
0,34,-1,noise,0,right,noise,-1,1,noise.wav,swan,223,swan.bmp
0,35,-1,noise,1,left,noise,-1,1,noise.wav,chair,53,chair.bmp
0,36,1,valid,0,left,grasshopper,110,2,grasshopper_2.wav,grasshopper,110,grasshopper.bmp
0,37,1,valid,0,left,wine_glass,258,3,wine_glass_3.wav,wine_glass,258,wine_glass.bmp
0,38,1,valid,0,right,tiger,233,4,tiger_4.wav,tiger,233,tiger.bmp
0,39,-1,noise,1,right,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,40,1,valid,0,right,grasshopper,110,4,grasshopper_4.wav,grasshopper,110,grasshopper.bmp
0,41,-1,noise,1,right,noise,-1,1,noise.wav,pear,166,pear.bmp
0,42,1,valid,0,left,grasshopper,110,1,grasshopper_1.wav,grasshopper,110,grasshopper.bmp
0,43,-1,noise,0,right,noise,-1,1,noise.wav,dog,73,dog.bmp
0,44,-1,noise,1,right,noise,-1,1,noise.wav,lion,140,lion.bmp
0,45,-1,noise,1,right,noise,-1,1,noise.wav,dog,73,dog.bmp
0,46,1,valid,1,left,chair,53,4,chair_4.wav,chair,53,chair.bmp
0,47,-1,noise,1,left,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,48,0,invalid,0,right,lion,140,3,lion_3.wav,swan,223,swan.bmp
0,49,1,valid,1,left,lion,140,1,lion_1.wav,lion,140,lion.bmp
0,50,1,valid,1,right,swan,223,3,swan_3.wav,swan,223,swan.bmp
0,51,0,invalid,1,left,pear,166,3,pear_3.wav,apple,6,apple.bmp
0,52,-1,noise,1,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,53,1,valid,0,right,tiger,233,4,tiger_4.wav,tiger,233,tiger.bmp
0,54,-1,noise,1,left,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,55,-1,noise,0,right,noise,-1,1,noise.wav,lion,140,lion.bmp
0,56,0,invalid,0,right,chair,53,3,chair_3.wav,wine_glass,258,wine_glass.bmp
0,57,-1,noise,1,right,noise,-1,1,noise.wav,swan,223,swan.bmp
0,58,-1,noise,0,left,noise,-1,1,noise.wav,pear,166,pear.bmp
0,59,-1,noise,1,left,noise,-1,1,noise.wav,dog,73,dog.bmp
0,60,1,valid,1,left,apple,6,3,apple_3.wav,apple,6,apple.bmp
0,61,-1,noise,0,right,noise,-1,1,noise.wav,chair,53,chair.bmp
0,62,-1,noise,0,left,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,63,1,valid,0,left,tomato,236,2,tomato_2.wav,tomato,236,tomato.bmp
0,64,-1,noise,1,left,noise,-1,1,noise.wav,swan,223,swan.bmp
0,65,-1,noise,1,left,noise,-1,1,noise.wav,chair,53,chair.bmp
0,66,-1,noise,0,right,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,67,1,valid,1,left,dog,73,2,dog_2.wav,dog,73,dog.bmp
0,68,1,valid,0,right,swan,223,2,swan_2.wav,swan,223,swan.bmp
0,69,1,valid,0,left,dog,73,3,dog_3.wav,dog,73,dog.bmp
0,70,1,valid,1,left,wine_glass,258,4,wine_glass_4.wav,wine_glass,258,wine_glass.bmp
0,71,-1,noise,1,right,noise,-1,1,noise.wav,dog,73,dog.bmp
0,72,1,valid,0,left,pear,166,3,pear_3.wav,pear,166,pear.bmp
0,73,1,valid,0,left,tomato,236,3,tomato_3.wav,tomato,236,tomato.bmp
0,74,-1,noise,0,right,noise,-1,1,noise.wav,chair,53,chair.bmp
0,75,-1,noise,0,left,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,76,1,valid,0,right,chair,53,3,chair_3.wav,chair,53,chair.bmp
0,77,1,valid,0,left,apple,6,2,apple_2.wav,apple,6,apple.bmp
0,78,1,valid,1,right,dog,73,4,dog_4.wav,dog,73,dog.bmp
0,79,-1,noise,1,right,noise,-1,1,noise.wav,lion,140,lion.bmp
0,80,-1,noise,1,right,noise,-1,1,noise.wav,apple,6,apple.bmp
0,81,-1,noise,0,left,noise,-1,1,noise.wav,swan,223,swan.bmp
0,82,1,valid,1,left,tiger,233,3,tiger_3.wav,tiger,233,tiger.bmp
0,83,1,valid,1,right,pear,166,2,pear_2.wav,pear,166,pear.bmp
0,84,-1,noise,0,right,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,85,1,valid,0,right,lion,140,3,lion_3.wav,lion,140,lion.bmp
0,86,-1,noise,0,left,noise,-1,1,noise.wav,pear,166,pear.bmp
0,87,1,valid,0,right,tiger,233,2,tiger_2.wav,tiger,233,tiger.bmp
0,88,-1,noise,1,left,noise,-1,1,noise.wav,pear,166,pear.bmp
0,89,-1,noise,1,left,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,90,1,valid,1,right,tomato,236,3,tomato_3.wav,tomato,236,tomato.bmp
0,91,1,valid,0,left,wine_glass,258,4,wine_glass_4.wav,wine_glass,258,wine_glass.bmp
0,92,-1,noise,0,right,noise,-1,1,noise.wav,dog,73,dog.bmp
0,93,-1,noise,0,left,noise,-1,1,noise.wav,swan,223,swan.bmp
0,94,1,valid,1,right,chair,53,1,chair_1.wav,chair,53,chair.bmp
0,95,1,valid,0,left,wine_glass,258,1,wine_glass_1.wav,wine_glass,258,wine_glass.bmp
0,96,1,valid,1,right,lion,140,4,lion_4.wav,lion,140,lion.bmp
0,97,1,valid,0,right,apple,6,4,apple_4.wav,apple,6,apple.bmp
0,98,-1,noise,1,left,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,99,1,valid,0,right,lion,140,4,lion_4.wav,lion,140,lion.bmp
0,100,0,invalid,0,left,wine_glass,258,4,wine_glass_4.wav,grasshopper,110,grasshopper.bmp
0,101,-1,noise,0,right,noise,-1,1,noise.wav,apple,6,apple.bmp
0,102,-1,noise,1,left,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,103,0,invalid,1,left,chair,53,2,chair_2.wav,swan,223,swan.bmp
0,104,-1,noise,1,left,noise,-1,1,noise.wav,pear,166,pear.bmp
0,105,0,invalid,0,right,pear,166,4,pear_4.wav,apple,6,apple.bmp
0,106,-1,noise,1,right,noise,-1,1,noise.wav,swan,223,swan.bmp
1,107,-1,noise,1,left,noise,-1,1,noise.wav,swan,223,swan.bmp
1,108,-1,noise,1,right,noise,-1,1,noise.wav,dog,73,dog.bmp
1,109,1,valid,0,right,chair,53,4,chair_4.wav,chair,53,chair.bmp
1,110,0,invalid,0,left,dog,73,1,dog_1.wav,tomato,236,tomato.bmp
1,111,-1,noise,0,left,noise,-1,1,noise.wav,tiger,233,tiger.bmp
1,112,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
1,113,-1,noise,1,right,noise,-1,1,noise.wav,pear,166,pear.bmp
1,114,1,valid,0,right,lion,140,1,lion_1.wav,lion,140,lion.bmp
1,115,1,valid,0,left,tiger,233,1,tiger_1.wav,tiger,233,tiger.bmp
1,116,1,valid,0,left,swan,223,3,swan_3.wav,swan,223,swan.bmp
1,117,0,invalid,0,left,tiger,233,1,tiger_1.wav,lion,140,lion.bmp
1,118,0,invalid,0,left,tomato,236,4,tomato_4.wav,chair,53,chair.bmp
1,119,-1,noise,1,right,noise,-1,1,noise.wav,tomato,236,tomato.bmp
1,120,-1,noise,1,left,noise,-1,1,noise.wav,lion,140,lion.bmp
1,121,1,valid,1,right,grasshopper,110,2,grasshopper_2.wav,grasshopper,110,grasshopper.bmp
1,122,1,valid,1,right,dog,73,1,dog_1.wav,dog,73,dog.bmp
1,123,0,invalid,1,left,lion,140,1,lion_1.wav,wine_glass,258,wine_glass.bmp
1,124,0,invalid,1,right,apple,6,4,apple_4.wav,chair,53,chair.bmp
1,125,-1,noise,1,right,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
1,126,-1,noise,1,left,noise,-1,1,noise.wav,apple,6,apple.bmp
1,127,1,valid,1,left,dog,73,3,dog_3.wav,dog,73,dog.bmp
1,128,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
1,129,-1,noise,1,left,noise,-1,1,noise.wav,tiger,233,tiger.bmp
1,130,1,valid,0,right,apple,6,4,apple_4.wav,apple,6,apple.bmp
1,131,1,valid,1,left,grasshopper,110,1,grasshopper_1.wav,grasshopper,110,grasshopper.bmp
1,132,-1,noise,1,right,noise,-1,1,noise.wav,tomato,236,tomato.bmp
1,133,-1,noise,1,left,noise,-1,1,noise.wav,swan,223,swan.bmp
1,134,-1,noise,0,left,noise,-1,1,noise.wav,dog,73,dog.bmp
1,135,-1,noise,0,right,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
1,136,-1,noise,1,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
1,137,-1,noise,0,right,noise,-1,1,noise.wav,lion,140,lion.bmp
1,138,-1,noise,0,right,noise,-1,1,noise.wav,tomato,236,tomato.bmp
1,139,1,valid,1,left,wine_glass,258,3,wine_glass_3.wav,wine_glass,258,wine_glass.bmp
1,140,-1,noise,1,right,noise,-1,1,noise.wav,chair,53,chair.bmp
1,141,-1,noise,0,left,noise,-1,1,noise.wav,tomato,236,tomato.bmp
1,142,1,valid,0,right,dog,73,2,dog_2.wav,dog,73,dog.bmp
1,143,1,valid,1,left,chair,53,3,chair_3.wav,chair,53,chair.bmp
1,144,-1,noise,1,right,noise,-1,1,noise.wav,tiger,233,tiger.bmp
1,145,-1,noise,0,right,noise,-1,1,noise.wav,chair,53,chair.bmp
1,146,1,valid,1,left,swan,223,1,swan_1.wav,swan,223,swan.bmp
1,147,-1,noise,1,left,noise,-1,1,noise.wav,lion,140,lion.bmp
1,148,1,valid,1,left,pear,166,4,pear_4.wav,pear,166,pear.bmp
1,149,1,valid,0,right,tomato,236,4,tomato_4.wav,tomato,236,tomato.bmp
