block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,is_mask_overlap,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,valid,1,1,right,1,gorilla,108,4,gorilla_4.wav,gorilla,108,gorilla.bmp
-1,-9,noise,-1,0,right,-1,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
-1,-8,invalid,0,0,left,-1,strawberry,220,3,strawberry_3.wav,tiger,233,tiger.bmp
-1,-7,noise,-1,1,left,1,noise,-1,1,noise.wav,tomato,236,tomato.bmp
-1,-6,valid,1,1,right,0,rhinoceros,186,2,rhinoceros_2.wav,rhinoceros,186,rhinoceros.bmp
-1,-5,noise,-1,1,left,1,noise,-1,1,noise.wav,pear,166,pear.bmp
-1,-4,valid,1,0,left,-1,leopard,136,1,leopard_1.wav,leopard,136,leopard.bmp
-1,-3,noise,-1,1,left,1,noise,-1,1,noise.wav,snowman,210,snowman.bmp
-1,-2,valid,1,0,right,-1,grasshopper,110,3,grasshopper_3.wav,grasshopper,110,grasshopper.bmp
-1,-1,valid,1,1,right,0,saltshaker,194,2,saltshaker_2.wav,saltshaker,194,saltshaker.bmp
0,0,noise,-1,0,left,-1,noise,-1,1,noise.wav,rhinoceros,186,rhinoceros.bmp
0,1,invalid,0,1,right,0,rhinoceros,186,2,rhinoceros_2.wav,tiger,233,tiger.bmp
0,2,noise,-1,0,right,-1,noise,-1,1,noise.wav,leopard,136,leopard.bmp
0,3,invalid,0,0,left,-1,rhinoceros,186,2,rhinoceros_2.wav,strawberry,220,strawberry.bmp
0,4,noise,-1,0,right,-1,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,5,noise,-1,1,right,0,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,6,valid,1,1,right,1,gorilla,108,4,gorilla_4.wav,gorilla,108,gorilla.bmp
0,7,valid,1,0,left,-1,strawberry,220,2,strawberry_2.wav,strawberry,220,strawberry.bmp
0,8,noise,-1,0,right,-1,noise,-1,1,noise.wav,saltshaker,194,saltshaker.bmp
0,9,noise,-1,1,right,0,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,10,valid,1,1,left,1,snowman,210,1,snowman_1.wav,snowman,210,snowman.bmp
0,11,valid,1,0,right,-1,saltshaker,194,3,saltshaker_3.wav,saltshaker,194,saltshaker.bmp
0,12,invalid,0,1,right,0,tomato,236,2,tomato_2.wav,strawberry,220,strawberry.bmp
0,13,noise,-1,1,left,0,noise,-1,1,noise.wav,snowman,210,snowman.bmp
0,14,noise,-1,1,left,1,noise,-1,1,noise.wav,saltshaker,194,saltshaker.bmp
0,15,noise,-1,1,left,1,noise,-1,1,noise.wav,leopard,136,leopard.bmp
0,16,noise,-1,0,left,-1,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,17,noise,-1,0,left,-1,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,18,noise,-1,0,left,-1,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,19,noise,-1,0,left,-1,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,20,invalid,0,1,left,1,leopard,136,4,leopard_4.wav,snowman,210,snowman.bmp
0,21,noise,-1,0,left,-1,noise,-1,1,noise.wav,leopard,136,leopard.bmp
0,22,noise,-1,0,left,-1,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,23,valid,1,0,left,-1,snowman,210,3,snowman_3.wav,snowman,210,snowman.bmp
0,24,invalid,0,1,right,0,snowman,210,3,snowman_3.wav,tomato,236,tomato.bmp
0,25,noise,-1,0,left,-1,noise,-1,1,noise.wav,snowman,210,snowman.bmp
0,26,noise,-1,1,left,1,noise,-1,1,noise.wav,leopard,136,leopard.bmp
0,27,noise,-1,0,right,-1,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,28,noise,-1,1,left,0,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,29,valid,1,1,right,1,pear,166,1,pear_1.wav,pear,166,pear.bmp
0,30,valid,1,0,left,-1,leopard,136,3,leopard_3.wav,leopard,136,leopard.bmp
0,31,noise,-1,1,right,0,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,32,valid,1,1,left,0,rhinoceros,186,3,rhinoceros_3.wav,rhinoceros,186,rhinoceros.bmp
0,33,invalid,0,0,right,-1,pear,166,3,pear_3.wav,grasshopper,110,grasshopper.bmp
0,34,valid,1,0,right,-1,pear,166,4,pear_4.wav,pear,166,pear.bmp
0,35,noise,-1,1,right,0,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,36,valid,1,1,left,0,strawberry,220,2,strawberry_2.wav,strawberry,220,strawberry.bmp
0,37,valid,1,1,left,0,grasshopper,110,1,grasshopper_1.wav,grasshopper,110,grasshopper.bmp
0,38,noise,-1,1,left,0,noise,-1,1,noise.wav,pear,166,pear.bmp
0,39,noise,-1,1,right,0,noise,-1,1,noise.wav,rhinoceros,186,rhinoceros.bmp
0,40,valid,1,0,left,-1,saltshaker,194,2,saltshaker_2.wav,saltshaker,194,saltshaker.bmp
0,41,noise,-1,1,right,0,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,42,valid,1,1,left,0,gorilla,108,1,gorilla_1.wav,gorilla,108,gorilla.bmp
0,43,noise,-1,0,left,-1,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,44,invalid,0,1,right,0,gorilla,108,3,gorilla_3.wav,grasshopper,110,grasshopper.bmp
0,45,noise,-1,1,right,0,noise,-1,1,noise.wav,saltshaker,194,saltshaker.bmp
0,46,noise,-1,0,right,-1,noise,-1,1,noise.wav,tiger,233,tiger.bmp
0,47,valid,1,0,left,-1,leopard,136,1,leopard_1.wav,leopard,136,leopard.bmp
0,48,noise,-1,1,right,1,noise,-1,1,noise.wav,rhinoceros,186,rhinoceros.bmp
0,49,valid,1,0,left,-1,grasshopper,110,4,grasshopper_4.wav,grasshopper,110,grasshopper.bmp
0,50,valid,1,1,right,1,tomato,236,1,tomato_1.wav,tomato,236,tomato.bmp
0,51,valid,1,0,left,-1,pear,166,1,pear_1.wav,pear,166,pear.bmp
0,52,valid,1,0,right,-1,rhinoceros,186,2,rhinoceros_2.wav,rhinoceros,186,rhinoceros.bmp
0,53,invalid,0,1,left,0,gorilla,108,3,gorilla_3.wav,pear,166,pear.bmp
0,54,valid,1,1,right,0,saltshaker,194,2,saltshaker_2.wav,saltshaker,194,saltshaker.bmp
0,55,valid,1,1,left,0,snowman,210,1,snowman_1.wav,snowman,210,snowman.bmp
0,56,valid,1,1,right,1,grasshopper,110,1,grasshopper_1.wav,grasshopper,110,grasshopper.bmp
0,57,noise,-1,1,left,1,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,58,noise,-1,1,left,1,noise,-1,1,noise.wav,grasshopper,110,grasshopper.bmp
0,59,valid,1,1,right,1,strawberry,220,4,strawberry_4.wav,strawberry,220,strawberry.bmp
0,60,invalid,0,0,left,-1,strawberry,220,1,strawberry_1.wav,snowman,210,snowman.bmp
0,61,noise,-1,1,right,1,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,62,valid,1,1,left,1,saltshaker,194,4,saltshaker_4.wav,saltshaker,194,saltshaker.bmp
0,63,noise,-1,1,left,1,noise,-1,1,noise.wav,pear,166,pear.bmp
0,64,noise,-1,1,left,1,noise,-1,1,noise.wav,snowman,210,snowman.bmp
0,65,invalid,0,0,left,-1,tomato,236,2,tomato_2.wav,rhinoceros,186,rhinoceros.bmp
0,66,valid,1,0,left,-1,tiger,233,2,tiger_2.wav,tiger,233,tiger.bmp
