num,concept
1,accordion
2,airplane
3,alligator
4,anchor
5,ant
6,apple
7,arm
8,arrow
9,artichoke
10,ashtray
11,asparagus
12,axe
13,baby carriage
14,ball
15,balloon
16,banana
17,barn
18,barrel
19,baseball bat
20,basket
21,bear
22,bed
23,bee
24,beetle
25,bell
26,belt
27,bicycle
28,bird
29,blouse
30,book
31,boot
32,bottle
33,bow
34,bowl
35,box
36,bread
37,broom
38,brush
39,bus
40,butterfly
41,button
42,cake
43,camel
44,candle
45,cannon
46,cap
47,car
48,carrott
49,cat
50,caterpillar
51,celery
52,chain
53,chair
54,cherry
55,chicken
56,chisel
57,church
58,cigar
59,cigarette
60,clock
61,clothespin
62,cloud
63,clown
64,coat
65,comb
66,corn
67,couch
68,cow
69,crown
70,cup
71,deer
72,desk
73,dog
74,doll
75,donkey
76,door
77,doorknob
78,dress
79,dresser
80,drum
81,duck
82,eagle
83,ear
84,elephant
85,envelope
86,eye
87,fence
88,finger
89,fish
90,flag
91,flower
92,flute
93,fly
94,foot
95,football
96,football helmet
97,fork
98,fox
99,french horn
100,frog
101,frying pan
102,garbage can
103,giraffe
104,glass
105,glasses
106,gloves
107,goat
108,gorilla
109,grapes
110,grasshopper
111,guitar
112,gun
113,hair
114,hammer
115,hand
116,hanger
117,harp
118,hat
119,heart
120,helicopter
121,horse
122,house
123,iron
124,ironing board
125,jacket
126,kangaroo
127,kettle
128,key
129,kite
130,knife
131,ladder
132,lamp
133,leaf
134,leg
135,lemon
136,leopard
137,lettuce
138,lightbulb
139,light switch
140,lion
141,lips
142,lobster
143,lock
144,mitten
145,monkey
146,moon
147,motorcycle
148,mountain
149,mouse
150,mushroom
151,nail
152,nail file
153,necklace
154,needle
155,nose
156,nut
157,onion
158,orange
159,ostrich
160,owl
161,paintbrush
162,pants
163,peach
164,peacock
165,peanut
166,pear
167,pen
168,pencil
169,penguin
170,pepper
171,piano
172,pig
173,pineapple
174,pipe
175,pitcher
176,pliers
177,plug
178,pocketbook
179,pot
180,potato
181,pumpkin
182,rabbit
183,raccoon
184,record player
185,refrigerator
186,rhinoceros
187,ring
188,rocking chair
189,roller skate
190,rolling pin
191,rooster
192,ruler
193,sailboat
194,saltshaker
195,sandwich
196,saw
197,scissors
198,screw
199,screwdriver
200,sea horse
201,seal
202,sheep
203,shirt
204,shoe
205,skirt
206,skunk
207,sled
208,snail
209,snake
210,snowman
211,socks
212,spider
213,spinning wheel
214,spool of thread
215,spoon
216,squirrel
217,star
218,stool
219,stove
220,strawberry
221,suitcase
222,sun
223,swan
224,sweater
225,swing
226,table
227,telephone
228,television
229,tennis racket
230,thimble
231,thumb
232,tie
233,tiger
234,toaster
235,toe
236,tomato
237,toothbrush
238,top
239,traffic lights
240,train
241,tree
242,truck
243,trumpet
244,turtle
245,umbrella
246,vase
247,vest
248,violin
249,wagon
250,watch
251,watering can
252,watermelon
253,well
254,wheel
255,whistle
256,windmill
257,window
258,wine glass
259,wrench
260,zebra
