num,concept,complex_line_mean,complex_gray_mean,complex_color_mean,complex_line_sd,complex_gray_sd,complex_color_sd,diagnostic,familiarity_line_mean,familiarity_gray_mean,familiarity_color_mean,familiarity_line_sd,familiarity_gray_sd,familiarity_color_sd,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
1,accordion,3.55,3.75,3.33,1.04,0.57,1.33,2.27,2.35,2.24,2.06,1.24,0.82,0.56,3.55,3.75,3.33,1.04,0.57,1.33,0.00,0.00,0.00,100.00,100.00,100.00,860.00,925.00,905.00
2,airplane,4.00,4.17,3.75,1.00,0.52,0.93,2.73,3.82,3.65,3.59,1.28,1.49,1.13,4.00,4.17,3.75,1.00,0.52,0.93,0.00,0.00,0.00,100.00,100.00,100.00,660.00,678.00,661.00
3,alligator,4.36,4.67,4.50,1.21,0.24,0.64,4.55,1.82,1.76,1.94,1.03,0.82,0.56,4.36,4.67,4.50,1.21,0.24,0.64,0.53,0.95,0.71,88.00,63.00,81.00,1089.00,1122.00,876.00
4,anchor,4.45,4.25,4.42,0.82,1.48,1.54,4.46,2.29,2.12,2.24,1.10,0.99,0.94,4.45,4.25,4.42,0.82,1.48,1.54,0.00,0.00,0.00,100.00,100.00,100.00,1199.00,988.00,943.00
5,ant,3.91,4.08,4.67,1.22,0.99,0.24,4.09,3.00,2.88,2.71,1.13,1.11,0.97,3.91,4.08,4.67,1.22,0.99,0.24,0.00,0.00,0.00,100.00,100.00,100.00,1474.00,1448.00,1062.00
6,apple,4.00,4.33,3.42,1.10,0.79,0.99,3.46,4.71,4.47,4.59,0.47,0.39,0.38,4.00,4.33,3.42,1.10,0.79,0.99,1.17,0.98,0.93,67.00,59.00,65.00,917.00,900.00,908.00
7,arm,4.00,4.33,3.92,1.34,0.79,0.63,4.09,4.82,4.65,4.76,0.15,0.37,0.32,4.00,4.33,3.92,1.34,0.79,0.63,0.00,0.00,0.00,100.00,100.00,100.00,973.00,1106.00,911.00
8,arrow,3.36,1.67,2.17,1.43,0.97,2.52,1.09,4.12,3.94,3.76,1.11,1.43,0.94,3.36,1.67,2.17,1.43,0.97,2.52,1.37,1.37,1.56,65.00,68.00,47.00,918.00,869.00,837.00
9,artichoke,3.45,4.18,4.17,1.81,1.96,2.33,4.82,2.76,2.82,2.88,1.07,0.90,0.86,3.45,4.18,4.17,1.81,1.96,2.33,1.86,1.71,1.44,36.00,60.00,44.00,1185.00,1201.00,1005.00
10,ashtray,3.45,3.83,3.42,1.04,0.33,1.36,1.55,3.76,3.71,4.29,2.07,1.97,0.72,3.45,3.83,3.42,1.04,0.33,1.36,1.29,1.00,1.39,53.00,47.00,58.00,1167.00,1038.00,914.00
11,asparagus,3.55,3.42,4.17,1.04,1.36,0.52,4.46,2.76,2.41,2.82,1.19,1.13,0.65,3.55,3.42,4.17,1.04,1.36,0.52,0.00,0.00,0.00,100.00,100.00,100.00,1553.00,1436.00,1255.00
12,axe,4.27,4.08,4.42,1.19,0.81,0.81,4.00,2.88,2.82,2.47,1.61,2.03,0.64,4.27,4.08,4.42,1.19,0.81,0.81,0.00,0.00,0.00,100.00,100.00,100.00,1073.00,1252.00,864.00
13,baby carriage,3.73,3.58,3.17,1.10,0.81,1.24,1.46,3.41,3.18,3.59,1.63,0.90,0.51,3.73,3.58,3.17,1.10,0.81,1.24,0.00,0.00,0.00,100.00,100.00,100.00,964.00,975.00,875.00
14,ball,2.09,2.08,2.33,1.14,0.81,2.24,1.00,3.59,3.94,3.94,2.13,0.93,0.43,2.09,2.08,2.33,1.14,0.81,2.24,0.68,0.65,0.50,82.00,83.00,89.00,787.00,721.00,762.00
15,balloon,2.00,2.08,1.75,1.55,2.27,1.48,1.36,3.53,3.53,3.29,1.51,1.51,0.97,2.00,2.08,1.75,1.55,2.27,1.48,0.81,0.29,0.63,83.00,95.00,84.00,1051.00,775.00,688.00
16,banana,4.36,4.83,4.92,0.81,0.15,0.08,4.82,4.53,4.53,4.29,0.76,0.39,0.47,4.36,4.83,4.92,0.81,0.15,0.08,0.00,0.00,0.00,100.00,100.00,100.00,733.00,719.00,639.00
17,barn,2.64,3.08,2.67,1.03,1.72,1.70,4.09,2.82,2.65,2.35,1.28,1.74,0.99,2.64,3.08,2.67,1.03,1.72,1.70,0.00,0.00,0.00,100.00,100.00,100.00,1788.00,,1272.00
18,barrel,4.18,4.50,4.92,0.98,0.82,0.08,4.36,2.71,2.00,2.12,1.72,1.00,0.74,4.18,4.50,4.92,0.98,0.82,0.08,0.00,0.00,0.00,100.00,100.00,100.00,834.00,892.00,861.00
19,baseball bat,4.64,4.67,4.92,0.92,0.24,0.08,3.73,2.76,3.06,2.18,1.07,1.93,1.15,4.64,4.67,4.92,0.92,0.24,0.08,0.00,0.00,0.00,100.00,100.00,100.00,1056.00,1196.00,1104.00
20,basket,3.18,2.83,3.00,0.98,1.06,1.82,3.36,3.18,3.12,2.65,1.78,1.74,0.74,3.18,2.83,3.00,0.98,1.06,1.82,0.00,0.00,0.00,100.00,100.00,100.00,747.00,782.00,778.00
21,bear,4.55,3.83,4.58,0.52,1.24,1.36,3.73,2.06,2.18,1.94,1.43,0.90,0.56,4.55,3.83,4.58,0.52,1.24,1.36,0.00,0.00,0.00,100.00,100.00,100.00,882.00,896.00,912.00
22,bed,3.18,3.25,3.00,1.08,0.93,1.64,1.55,5.00,4.76,4.88,0.00,0.19,0.11,3.18,3.25,3.00,1.08,0.93,1.64,0.00,0.29,0.00,100.00,95.00,100.00,700.00,710.00,727.00
23,bee,3.36,2.67,2.92,1.12,1.15,0.45,4.46,2.94,2.35,2.29,1.56,0.99,0.97,3.36,2.67,2.92,1.12,1.15,0.45,0.00,0.00,0.00,100.00,100.00,100.00,1476.00,1507.00,1612.00
24,beetle,3.73,3.42,2.92,1.27,1.72,1.54,4.27,1.41,1.82,1.88,0.63,0.78,0.49,3.73,3.42,2.92,1.27,1.72,1.54,0.29,0.00,0.00,95.00,100.00,100.00,2537.00,1018.00,1117.00
25,bell,3.82,3.75,3.83,1.33,0.57,1.24,3.73,3.18,3.12,2.59,1.53,1.36,0.76,3.82,3.75,3.83,1.33,0.57,1.24,0.00,0.29,0.00,100.00,95.00,100.00,818.00,776.00,732.00
26,belt,4.27,4.33,4.50,1.10,0.42,0.27,3.00,4.65,4.24,4.12,0.62,0.94,0.74,4.27,4.33,4.50,1.10,0.42,0.27,1.35,0.81,1.01,60.00,75.00,74.00,834.00,837.00,801.00
27,bicycle,3.45,3.92,3.75,1.21,0.63,0.75,1.82,4.35,4.29,4.24,1.24,0.47,0.57,3.45,3.92,3.75,1.21,0.63,0.75,0.63,0.00,0.29,89.00,100.00,95.00,774.00,760.00,661.00
28,bird,3.36,3.33,2.83,1.57,1.15,1.24,2.00,4.35,4.12,3.76,1.24,0.61,1.07,3.36,3.33,2.83,1.57,1.15,1.24,0.29,0.29,0.00,95.00,95.00,100.00,997.00,988.00,1035.00
29,blouse,3.45,2.17,2.25,1.37,0.88,1.30,1.00,4.53,4.00,3.94,0.64,1.13,1.06,3.45,2.17,2.25,1.37,0.88,1.30,0.50,0.59,0.61,89.00,89.00,85.00,1259.00,1133.00,1959.00
30,book,4.27,4.42,3.75,0.90,0.27,0.93,1.82,5.00,4.76,4.76,0.00,0.19,0.19,4.27,4.42,3.75,0.90,0.27,0.93,0.00,0.00,0.00,100.00,100.00,100.00,708.00,823.00,730.00
31,boot,2.91,2.08,2.42,1.30,1.36,2.45,2.36,3.71,3.53,3.47,1.85,1.76,1.51,2.91,2.08,2.42,1.30,1.36,2.45,0.00,0.29,0.00,100.00,95.00,100.00,955.00,1104.00,963.00
32,bottle,3.64,3.75,3.75,1.21,1.11,0.39,2.82,4.82,4.53,4.65,0.28,0.39,0.37,3.64,3.75,3.75,1.21,1.11,0.39,0.00,0.00,0.00,100.00,100.00,100.00,746.00,918.00,748.00
33,bow,3.20,2.17,2.75,1.81,2.70,2.93,1.36,2.88,2.76,2.53,2.36,1.32,1.39,3.20,2.17,2.75,1.81,2.70,2.93,0.29,0.00,0.00,95.00,100.00,100.00,799.00,783.00,779.00
34,bowl,3.82,3.67,3.17,0.75,1.15,1.24,1.09,4.47,4.35,4.00,0.51,0.74,1.50,3.82,3.67,3.17,0.75,1.15,1.24,0.00,0.00,0.00,100.00,100.00,100.00,981.00,1044.00,1001.00
35,box,3.73,3.67,3.25,1.01,0.97,1.11,1.18,3.71,3.94,3.65,0.97,0.68,1.12,3.73,3.67,3.25,1.01,0.97,1.11,0.58,0.32,0.32,90.00,94.00,94.00,1060.00,1032.00,842.00
36,bread,4.00,3.58,4.08,1.41,0.63,0.81,4.27,4.88,4.71,4.82,0.24,0.22,0.15,4.00,3.58,4.08,1.41,0.63,0.81,0.32,0.64,0.64,94.00,88.00,88.00,940.00,1038.00,921.00
37,broom,3.36,3.08,3.67,1.21,2.27,1.52,2.91,3.47,3.35,3.41,1.51,1.99,0.76,3.36,3.08,3.67,1.21,2.27,1.52,0.00,0.00,0.00,100.00,100.00,100.00,857.00,918.00,767.00
38,brush,2.55,2.58,2.75,1.04,2.08,1.66,2.09,4.35,4.06,4.24,1.37,1.06,0.69,2.55,2.58,2.75,1.04,2.08,1.66,0.00,1.62,1.06,100.00,64.00,73.00,765.00,782.00,734.00
39,bus,3.82,3.75,4.08,1.08,1.11,0.45,2.36,4.41,4.12,4.18,0.76,0.74,0.65,3.82,3.75,4.08,1.08,1.11,0.45,0.00,0.00,0.00,100.00,100.00,100.00,904.00,1043.00,797.00
40,butterfly,4.27,4.33,3.25,0.79,0.42,1.66,1.36,3.59,3.59,3.12,1.26,0.51,0.61,4.27,4.33,3.25,0.79,0.42,1.66,0.00,0.00,0.00,100.00,100.00,100.00,777.00,731.00,678.00
41,button,4.27,4.00,4.00,1.27,2.18,1.45,1.00,4.47,4.12,4.18,0.51,0.99,0.90,4.27,4.00,4.00,1.27,2.18,1.45,1.58,1.40,0.32,54.00,63.00,94.00,1289.00,1130.00,1251.00
42,cake,2.91,3.08,2.67,1.45,1.72,1.70,1.64,4.00,4.18,4.24,1.50,0.65,0.44,2.91,3.08,2.67,1.45,1.72,1.70,0.32,0.00,0.00,94.00,100.00,100.00,785.00,795.00,672.00
43,camel,3.82,3.75,3.17,1.33,2.20,2.88,4.55,2.06,2.29,1.88,1.43,1.10,0.49,3.82,3.75,3.17,1.33,2.20,2.88,0.32,0.32,0.00,94.00,94.00,100.00,1023.00,867.00,980.00
44,candle,4.00,3.92,3.92,1.26,0.99,0.45,1.55,4.12,3.71,4.12,1.11,1.22,0.74,4.00,3.92,3.92,1.26,0.99,0.45,1.92,0.88,1.59,38.00,70.00,33.00,827.00,751.00,772.00
