Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
accordion	[@][kO:][dj@n]	@	1	0.00	2	0.69	2.90	9	7	4	734.85	356.07	0	9	8	3	37.5	0.447	0.435	24.10	1	10	2	0	2	0	2	0	0	0	2	1
airplane	[E@][pleIn]	E@	21	3.04	108	4.68	6.55	8	5	2	254.93	32.61	0	13	13	4	30.8	0.300	0.303	308.59	10	28	3	3	5	0	0	0	0	0	2	0
alligator	[&][lI][geI][t@r*]	&	4	1.39	114	4.74	3.75	9	8	4	214.76	42.59	0	16	14	4	28.6	0.314	0.326	214.62	10	22	0	2	6	1	0	0	0	0	5	2
ambulance	[&m][bjU][l@ns]	&	7	1.95	1846	7.52	6.45	9	9	3	287.82	135.47	0	19	17	9	52.9	0.548	0.542	26.00	2	7	7	1	4	3	1	0	0	0	1	2
anchor	[&N][k@r*]	&	17	2.83	700	6.55	3.85	6	5	2	336.50	22.85	0	14	13	9	69.2	0.684	0.710	16.20	1	17	3	0	3	0	0	0	0	1	6	1
ant	[&nt]	&	13	2.56	1012	6.92	7.55	3	3	1			6	12	11	2	18.2	0.311	0.296	26.83	3	8	0	2	3	2	0	0	0	0	4	1
apartment	[@][pA:t][m@nt]	@	98	4.58	1948	7.57	7.80	9	8	3	593.42	309.09	0	18	17	12	70.6	0.671	0.688	101.60	4	40	1	0	8	0	0	0	0	0	8	1
apple	"[&][pl,]"	&	15	2.71	3512	8.16	8.30	5	3	2	564.29	54.68	2	19	17	4	23.5	0.226	0.223	396.27	21	27	2	0	4	3	0	3	0	2	3	2
apron	[eI][pr@n]	eI	8	2.08	573	6.35	4.75	5	5	2	161.65	10.17	0	13	13	4	30.8	0.352	0.330	26.39	2	6	8	0	4	0	0	0	0	0	1	0
armour	[A:][m@r*]	A:	2	0.69	897	6.80	2.45	6	4	2	523.75	155.26	2	11	11	3	27.3	0.378	0.387	53.89	5	18	4	0	2	1	0	0	0	1	3	0
