CONCEPT	escalator	falcon	fan_(appliance)	faucet	fawn	fence	finch	flamingo	flea	flute	football	fork	fox	freezer	fridge	frog	garage	garlic	gate	giraffe	gloves	goat	goldfish	goose	gopher	gorilla	gown	grape	grapefruit	grasshopper	grater	grenade	groundhog	guitar	gun	guppy	hammer	hamster	hare	harmonica	harp	harpoon	harpsichord	hatchet	hawk	helicopter	helmet	hoe	honeydew	hook	hornet	horse	hose	hose_(leggings)	house	housefly	hut	hyena	iguana	inn	jacket	jar	jeans	jeep	jet	kettle	key	keyboard_(musical)	kite	knife	ladle	lamb	lamp	lantern	lemon	leopard	leotards	lettuce	level	lime	limousine	lion	lobster	machete	mackerel	magazine	mandarin	marble	mat	medal	menu	microscope	microwave	mink	mink_(coat)	minnow	mirror	missile	mittens	mixer	mole_(animal)	moose	moth	motorcycle	mouse	mouse_(computer)	mug	mushroom	muzzle	napkin	necklace	nectarine	nightgown	nightingale	nylons	oak	octopus	olive	onions	orange	oriole	ostrich	otter	oven	owl	ox	paintbrush	pajamas	pan	panther	pants	parakeet	parka	parsley	partridge	peach	peacock	pear	pearl	peas	peg	pelican	pen	pencil	penguin	pepper	perch	pheasant	piano	pickle	pie	pier	pig	pigeon	pillow	pin	pine	pineapple	pipe_(plumbing)	pipe_(smoking)	pistol	plate	platypus	pliers	plug_(electric)	plum	pony	porcupine	pot	potato	projector	prune	pumpkin	pyramid	python	rabbit	raccoon	racquet	radio	radish	raft	raisin	rake	raspberry	rat	rattle	rattlesnake	raven	razor	revolver	rhubarb	rice	rifle	ring_(jewelry)	robe	robin	rock	rocker	rocket	rooster
accordion	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.372	0.025	0.000	0.016	0.000	0.000	0.322	0.493	0.000	0.567	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.052	0.000	0.047	0.000	0.000	0.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.033	0.000	0.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000
airplane	0.039	0.471	0.037	0.050	0.027	0.059	0.331	0.157	0.000	0.048	0.000	0.039	0.061	0.037	0.038	0.000	0.034	0.000	0.088	0.000	0.000	0.000	0.000	0.281	0.000	0.086	0.000	0.000	0.025	0.116	0.088	0.018	0.000	0.000	0.041	0.000	0.031	0.000	0.083	0.076	0.051	0.072	0.028	0.102	0.438	0.122	0.000	0.018	0.000	0.090	0.465	0.143	0.000	0.000	0.040	0.476	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.775	0.039	0.085	0.000	0.000	0.025	0.075	0.000	0.000	0.036	0.000	0.074	0.000	0.000	0.000	0.000	0.023	0.077	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.039	0.067	0.037	0.000	0.000	0.000	0.155	0.000	0.000	0.000	0.093	0.469	0.097	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.033	0.042	0.000	0.000	0.000	0.371	0.072	0.000	0.030	0.281	0.079	0.000	0.000	0.072	0.082	0.000	0.212	0.046	0.000	0.337	0.000	0.082	0.000	0.000	0.000	0.079	0.332	0.028	0.000	0.074	0.000	0.000	0.205	0.022	0.000	0.000	0.030	0.000	0.446	0.000	0.091	0.000	0.000	0.091	0.000	0.030	0.000	0.000	0.076	0.028	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.043	0.085	0.035	0.000	0.000	0.019	0.000	0.000	0.039	0.000	0.053	0.000	0.000	0.000	0.000	0.370	0.050	0.048	0.000	0.000	0.018	0.021	0.000	0.118	0.000	0.000	0.201	0.120
alligator	0.000	0.039	0.000	0.000	0.112	0.000	0.000	0.043	0.000	0.058	0.000	0.000	0.268	0.000	0.000	0.387	0.000	0.000	0.000	0.106	0.000	0.161	0.191	0.056	0.195	0.272	0.145	0.151	0.000	0.204	0.000	0.164	0.206	0.000	0.027	0.168	0.000	0.149	0.107	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.035	0.098	0.000	0.000	0.166	0.312	0.000	0.000	0.000	0.000	0.205	0.374	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.086	0.000	0.000	0.000	0.174	0.000	0.183	0.000	0.259	0.116	0.198	0.141	0.095	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.196	0.000	0.175	0.000	0.074	0.000	0.000	0.084	0.110	0.000	0.041	0.155	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.126	0.000	0.000	0.000	0.159	0.213	0.043	0.000	0.000	0.000	0.355	0.015	0.062	0.198	0.054	0.000	0.000	0.150	0.039	0.000	0.000	0.276	0.043	0.000	0.115	0.180	0.000	0.225	0.000	0.079	0.108	0.038	0.096	0.000	0.260	0.064	0.000	0.192	0.000	0.000	0.204	0.063	0.000	0.000	0.178	0.000	0.109	0.000	0.022	0.000	0.340	0.000	0.022	0.000	0.192	0.194	0.000	0.000	0.000	0.000	0.000	0.000	0.309	0.239	0.231	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.226	0.000	0.389	0.065	0.000	0.013	0.162	0.000	0.076	0.000	0.102	0.000	0.000	0.000	0.080	0.132
ambulance	0.000	0.021	0.000	0.000	0.038	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.137	0.082	0.084	0.000	0.022	0.100	0.000	0.009	0.000	0.038	0.030	0.094	0.000	0.057	0.000	0.034	0.017	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.010	0.000	0.156	0.000	0.034	0.000	0.019	0.000	0.034	0.066	0.000	0.000	0.000	0.000	0.017	0.115	0.000	0.000	0.027	0.067	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.101	0.242	0.000	0.000	0.121	0.000	0.000	0.000	0.172	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.125	0.051	0.088	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.091	0.051	0.000	0.000	0.000	0.049	0.000	0.028	0.000	0.062	0.000	0.158	0.048	0.000	0.023	0.080	0.000	0.100	0.000	0.030	0.000	0.000	0.000	0.022	0.028	0.016	0.101	0.020	0.023	0.024	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.112	0.000	0.011	0.030	0.000	0.000	0.010	0.015	0.035	0.180	0.000	0.000	0.089	0.021	0.000	0.123	0.000	0.000	0.000	0.105	0.000	0.000	0.020	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.017	0.042	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.075	0.056	0.023	0.000	0.062	0.000	0.000	0.050	0.017	0.000	0.000	0.081	0.034	0.000	0.000	0.011	0.000	0.000	0.061	0.220	0.012	0.000	0.000	0.000	0.000	0.000	0.146	0.054
anchor	0.105	0.024	0.062	0.136	0.000	0.160	0.000	0.000	0.000	0.131	0.000	0.105	0.000	0.029	0.118	0.000	0.026	0.000	0.239	0.000	0.000	0.000	0.000	0.020	0.000	0.067	0.000	0.000	0.019	0.000	0.237	0.048	0.000	0.000	0.112	0.000	0.171	0.000	0.000	0.206	0.039	0.276	0.022	0.275	0.039	0.085	0.000	0.048	0.000	0.244	0.020	0.053	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.106	0.229	0.000	0.000	0.068	0.203	0.000	0.000	0.097	0.000	0.027	0.000	0.000	0.000	0.000	0.018	0.060	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.032	0.000	0.000	0.000	0.000	0.028	0.000	0.080	0.000	0.061	0.000	0.000	0.195	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.213	0.037	0.076	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.023	0.000	0.000	0.000	0.247	0.000	0.000	0.247	0.000	0.129	0.000	0.000	0.207	0.077	0.000	0.000	0.000	0.193	0.000	0.000	0.000	0.033	0.066	0.027	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.143	0.000	0.000	0.000	0.000	0.013	0.135	0.130	0.000	0.000	0.112	0.056	0.000	0.000	0.125	0.000	0.217	0.000
ant	0.052	0.000	0.000	0.000	0.093	0.000	0.193	0.000	0.475	0.056	0.000	0.000	0.150	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.147	0.000	0.287	0.129	0.000	0.117	0.000	0.302	0.056	0.082	0.200	0.000	0.071	0.184	0.000	0.214	0.058	0.098	0.000	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.176	0.056	0.000	0.000	0.077	0.354	0.266	0.000	0.000	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.131	0.165	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.072	0.101	0.000	0.128	0.000	0.000	0.000	0.094	0.157	0.082	0.000	0.000	0.000	0.000	0.129	0.073	0.228	0.000	0.000	0.000	0.000	0.369	0.000	0.333	0.000	0.187	0.124	0.000	0.055	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.045	0.000	0.274	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.210	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.179	0.135	0.000	0.030	0.000	0.206	0.234	0.093	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.000	0.166	0.156	0.141	0.000	0.000	0.000	0.107	0.000	0.000	0.015	0.083	0.216	0.000	0.000	0.227	0.000	0.269	0.000	0.205	0.056	0.000	0.017	0.155	0.000	0.075	0.089	0.139	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.028
apartment	0.075	0.000	0.000	0.000	0.048	0.000	0.101	0.000	0.127	0.029	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.077	0.000	0.079	0.000	0.000	0.036	0.000	0.033	0.029	0.043	0.067	0.000	0.000	0.096	0.000	0.111	0.030	0.051	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.414	0.069	0.232	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.082	0.043	0.000	0.000	0.000	0.000	0.067	0.000	0.119	0.000	0.000	0.000	0.000	0.113	0.000	0.040	0.000	0.097	0.065	0.000	0.028	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.093	0.070	0.000	0.000	0.000	0.028	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.076	0.081	0.074	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.043	0.039	0.000	0.000	0.080	0.000	0.099	0.000	0.045	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000
apple	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.018	0.000	0.160	0.000	0.000	0.168	0.000	0.016	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.535	0.424	0.159	0.000	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.517	0.000	0.022	0.000	0.153	0.000	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.492	0.000	0.000	0.206	0.000	0.555	0.000	0.000	0.263	0.000	0.000	0.000	0.459	0.081	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.487	0.000	0.000	0.000	0.000	0.000	0.335	0.095	0.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.214	0.000	0.543	0.000	0.632	0.067	0.252	0.032	0.000	0.093	0.021	0.000	0.000	0.000	0.000	0.000	0.376	0.057	0.000	0.000	0.000	0.000	0.000	0.138	0.509	0.071	0.000	0.000	0.091	0.000	0.000	0.000	0.521	0.000	0.000	0.024	0.046	0.000	0.387	0.252	0.000	0.000	0.000	0.000	0.019	0.000	0.200	0.000	0.258	0.000	0.588	0.000	0.018	0.035	0.000	0.000	0.000	0.411	0.018	0.000	0.061	0.000	0.000	0.000	0.000	0.028	0.059
apron	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.039	0.127	0.000	0.000	0.000	0.259	0.016	0.000	0.000	0.000	0.000	0.070	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.053	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.352	0.000	0.022	0.000	0.000	0.020	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.128	0.139	0.000	0.119	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.240	0.000	0.000	0.025	0.030	0.341	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.017	0.000	0.102	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.371	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.151	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.016	0.000	0.022	0.000	0.070	0.000	0.000	0.000	0.036	0.000
armour	0.106	0.000	0.064	0.158	0.000	0.162	0.000	0.000	0.000	0.165	0.000	0.107	0.000	0.000	0.043	0.000	0.000	0.000	0.243	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.242	0.049	0.000	0.000	0.114	0.000	0.127	0.000	0.000	0.209	0.000	0.199	0.000	0.280	0.000	0.086	0.335	0.049	0.000	0.248	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.108	0.250	0.000	0.000	0.085	0.207	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.107	0.000	0.000	0.000	0.000	0.030	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.030	0.000	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.000	0.216	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.252	0.000	0.106	0.000	0.000	0.211	0.078	0.000	0.000	0.000	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.146	0.000	0.000	0.000	0.000	0.000	0.137	0.132	0.000	0.000	0.081	0.094	0.000	0.000	0.061	0.000	0.172	0.000
