"cue","ftype","qid","question","response"
"alligator","nonvisual",1,"Is it an animal?","yes"
"alligator","nonvisual",2,"Is it a reptile?","yes"
"alligator","nonvisual",3,"Does it live in swamps?","yes"
"alligator","nonvisual",4,"Does it live in water?","yes"
"alligator","nonvisual",5,"Does it eat people?","yes"
"alligator","visual",2,"Is it long?","yes"
"alligator","visual",3,"Does it have scales?","yes"
"alligator","visual",4,"Does it have a tail?","yes"
"alligator","visual",5,"Does it have jaws?","yes"
"alligator","nonvisual",1,"Is it a mammal?","no"
"alligator","nonvisual",2,"Does it live in the desert?","no"
"alligator","nonvisual",3,"Is it used for freight?","no"
"alligator","nonvisual",4,"Is it found in summer?","yes"
"alligator","nonvisual",5,"Is it a pet?","no"
"alligator","visual",1,"Does it have a long tongue?","yes"
"alligator","visual",2,"Is it grey?","no"
"alligator","visual",3,"Is it round?","no"
"alligator","visual",4,"Is it small?","no"
"alligator","visual",5,"Is it made of metal?","no"
"apple","nonvisual",1,"Is it a fruit?","yes"
"apple","nonvisual",2,"Does it grow on trees?","yes"
"apple","nonvisual",3,"Is it eaten in pies?","yes"
"apple","nonvisual",4,"Is it nutritious?","yes"
"apple","nonvisual",5,"Is it used for cider?","yes"
"apple","visual",1,"Is it red?","yes"
"apple","visual",3,"Does it have seeds?","yes"
"apple","visual",4,"Is it round?","yes"
"apple","visual",5,"Does it have a core?","yes"
"apple","nonvisual",1,"Is it an animal?","no"
"apple","nonvisual",2,"Does it live in Africa?","no"
"apple","nonvisual",3,"Is it fast?","no"
"apple","nonvisual",4,"Is it timid?","no"
"apple","nonvisual",5,"Is it used in experiments?","no"
"apple","visual",1,"Is it black?","no"
"apple","visual",2,"Does it have pockets?","no"
"apple","visual",3,"Does it have a beak?","no"
"apple","visual",4,"Does it have a hood?","no"
"apple","visual",5,"Does it have eyes?","no"
"banana","nonvisual",1,"Is it a fruit?","yes"
"banana","nonvisual",2,"Does it taste good?","yes"
"banana","nonvisual",3,"Does it grow in tropical climates?","yes"
"banana","nonvisual",4,"Is it healthy?","yes"
"banana","visual",1,"Is it yellow?","yes"
"banana","visual",2,"Is it long?","yes"
"banana","visual",3,"Does it have a peel?","yes"
"banana","visual",4,"Does it have a skin?","yes"
"banana","nonvisual",1,"Is it fast?","no"
"banana","nonvisual",2,"Is it worn in cold temperatures?","no"
"banana","nonvisual",3,"Does it have different speeds?","no"
"banana","nonvisual",4,"Is it a container?","no"
"banana","visual",1,"Does it have feathers?","no"
"banana","visual",2,"Does it have a tail?","no"
"banana","visual",3,"Does it have a beak?","no"
"banana","visual",4,"Does it have hooves?","no"
"bike","nonvisual",1,"Is is used for riding?","yes"
"bike","nonvisual",2,"Is it used for racing?","yes"
"bike","nonvisual",3,"Does it have different speeds?","yes"
"bike","nonvisual",4,"Is it fast?","yes"
"bike","visual",1,"Does it have handle bars?","yes"
"bike","visual",2,"Does it have a seat?","yes"
"bike","visual",3,"Does it have gears?","yes"
"bike","visual",4,"Is it made of metal?","yes"
"bike","nonvisual",1,"Does it live in Africa?","no"
"bike","nonvisual",2,"Is it nocturnal?","no"
"bike","nonvisual",3,"Is it a mammal?","no"
"bike","nonvisual",4,"Is it found at tables?","no"
"bike","visual",1,"Does it have legs?","no"
"bike","visual",2,"Is it made of plastic?","no"
