block_ix,trial_ix,is_cue_valid,cue_type,is_cue_masked,up_pic,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,1,valid,1,right,pineapple,173,2,pineapple_2.wav,pineapple,173,pineapple.bmp
-1,-9,1,valid,1,left,tree,241,1,tree_1.wav,tree,241,tree.bmp
-1,-8,-1,noise,1,left,noise,-1,1,noise.wav,pig,172,pig.bmp
-1,-7,1,valid,0,left,lion,140,3,lion_3.wav,lion,140,lion.bmp
-1,-6,-1,noise,1,left,noise,-1,1,noise.wav,lightbulb,138,lightbulb.bmp
-1,-5,0,invalid,1,left,tree,241,4,tree_4.wav,rabbit,182,rabbit.bmp
-1,-4,-1,noise,1,right,noise,-1,1,noise.wav,bottle,32,bottle.bmp
-1,-3,0,invalid,1,left,rabbit,182,4,rabbit_4.wav,leopard,136,leopard.bmp
-1,-2,-1,noise,0,left,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
-1,-1,0,invalid,1,left,lightbulb,138,3,lightbulb_3.wav,chair,53,chair.bmp
0,0,-1,noise,1,left,noise,-1,1,noise.wav,chair,53,chair.bmp
0,1,-1,noise,0,left,noise,-1,1,noise.wav,pineapple,173,pineapple.bmp
0,2,-1,noise,0,right,noise,-1,1,noise.wav,lightbulb,138,lightbulb.bmp
0,3,1,valid,1,right,pineapple,173,2,pineapple_2.wav,pineapple,173,pineapple.bmp
0,4,-1,noise,1,right,noise,-1,1,noise.wav,leopard,136,leopard.bmp
0,5,-1,noise,0,right,noise,-1,1,noise.wav,lion,140,lion.bmp
0,6,-1,noise,1,left,noise,-1,1,noise.wav,pineapple,173,pineapple.bmp
0,7,-1,noise,0,left,noise,-1,1,noise.wav,lion,140,lion.bmp
0,8,-1,noise,0,left,noise,-1,1,noise.wav,pineapple,173,pineapple.bmp
0,9,1,valid,0,right,tree,241,1,tree_1.wav,tree,241,tree.bmp
0,10,-1,noise,1,right,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,11,1,valid,1,left,pig,172,1,pig_1.wav,pig,172,pig.bmp
