version,subj_id,seed,computer,date,initials,compliance,notes
1,MOW101,101,Kramer,11/16/2015,JR,5,"crashed, finished w/ tilt_111"
1,MOW102,102,George,11/16/2015,JR,5,"crashed, finished w/ tilt_112"
1,MOW103,103,Elaine,11/16/2015,JR,5,"crashed, finished w/ tilt_113"
1,MOW104,104,Jerry,11/16/2015,JR,5,"crashed, finished w/ tilt_114"
1,MOW105,105,Kramer,11/16/2015,JR,5,
1,MOW106,106,George,11/16/2015,JR,5,
1,MOW107,107,Elaine,11/16/2015,JR,5,
1,MOW108,108,Kramer,11/17/2015,JR,5,
1,MOW109,109,George,11/17/2015,JR,5,
1,MOW110,110,Elaine,11/17/2015,JR,5,
1,MOW111,111,Jerry,11/17/2015,JR,5,
1,MOW112,112,Kramer,11/17/2015,JR,5,
1,MOW113,113,George,11/17/2015,JR,5,
1,MOW114,114,Elaine,11/17/2015,JR,5,
2,MOW201,201,Kramer,11/19/2015,JR,5,
2,MOW202,202,George,11/19/2015,JR,5,
2,MOW203,203,Elaine,11/19/2015,JR,5,
2,MOW204,204,Jerry,11/19/2015,JR,5,
2,MOW205,205,Kramer,11/19/2015,JR,5,
2,MOW206,206,George,11/19/2015,JR,5,
2,MOW207,207,Elaine,11/19/2015,JR,5,
2,MOW208,208,Kramer,11/20/2015,NS,5,
2,MOW209,209,George,11/20/2015,NS,5,
2,MOW210,210,Elaine,11/20/2015,NS,5,
2,MOW211,211,Jerry,11/20/2015,NS,5,
2,MOW212,212,George,11/20/2015,NS,5,
2,MOW213,213,Kramer,11/20/2015,NS,5,
2,MOW214,214,Kramer,11/20/2015,NS,5,
2,MOW215,215,George,11/20/2015,NS,5,
2,MOW216,216,Elaine,11/20/2015,NS,5,
2,MOW217,217,Jerry,11/20/2015,NS,5,
