subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,1,pig,valid,nomask,pic,pig,right,right,right,985.276315361,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,2,zebra,valid,mask,pic,zebra,right,right,right,425.967383198,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,3,tomato,invalid,mask,pic,leopard,left,left,left,395.813901443,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,4,skunk,valid,nomask,pic,skunk,right,right,right,376.586591825,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,5,bottle,invalid,mask,word,alligator,right,different,right,621.442312375,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,6,deer,valid,nomask,pic,deer,left,left,left,539.776259102,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,7,penguin,valid,mask,word,penguin,right,same,same,466.60659695,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,8,chicken,valid,mask,pic,chicken,left,left,left,377.34839879,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,9,leopard,valid,mask,pic,leopard,right,right,right,499.987516552,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,10,tomato,invalid,mask,pic,elephant,right,right,right,1149.78186088,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,11,leopard,valid,mask,pic,leopard,left,left,left,352.637677453,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,-1,practice,12,heart,valid,nomask,pic,heart,right,right,right,489.345261827,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,14,alligator,valid,mask,pic,alligator,left,left,right,352.735303808,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,15,deer,valid,mask,pic,deer,left,left,left,428.132451605,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,16,zebra,valid,nomask,word,zebra,left,same,left,437.276379205,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,17,chicken,valid,nomask,pic,chicken,left,left,left,514.960228931,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,18,wine_glass,valid,mask,word,wine_glass,left,same,left,405.643454753,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,0,test,19,elephant,valid,mask,pic,elephant,right,right,right,378.335547168,1
