subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,keys_pressed,response,rt,is_correct
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,1,wine_glass,invalid,mask,pic,chair,left,left,,timeout,1500.0,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,2,pineapple,valid,nomask,word,pineapple,left,up,left,timeout,1500.0,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,3,camel,invalid,mask,pic,tree,right,right,down down,timeout,1500.0,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,4,saltshaker,valid,mask,pic,saltshaker,right,right,up up up,timeout,1500.0,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,5,raccoon,valid,mask,word,raccoon,left,up,left left left up,up,991.652769502,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,6,leopard,valid,nomask,pic,leopard,left,left,up left,left,1410.41115159,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,7,gorilla,valid,mask,pic,gorilla,right,right,right,right,1125.15884358,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,8,grasshopper,valid,nomask,pic,grasshopper,left,left,left,left,1474.48457964,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,9,raccoon,valid,nomask,pic,raccoon,left,left,left,left,989.607733209,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,10,leopard,invalid,mask,pic,tiger,right,right,right,right,896.511691157,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,11,dog,valid,mask,pic,dog,right,right,right,right,866.823296063,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,-1,practice,12,penguin,valid,nomask,pic,penguin,left,left,left,left,957.12049678,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,14,alligator,valid,nomask,word,alligator,right,up,right,timeout,1500.0,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,15,tiger,valid,mask,pic,tiger,right,right,right,right,778.299697675,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,16,mouse,valid,mask,pic,mouse,right,right,right,right,749.092393089,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,17,heart,invalid,nomask,pic,elephant,right,right,right,right,794.687515125,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,18,alligator,valid,mask,pic,alligator,right,right,right,right,898.649232928,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,19,donkey,valid,mask,word,donkey,left,up,right left up,up,1307.39113037,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,20,giraffe,valid,nomask,pic,giraffe,left,left,left,left,869.158331305,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,21,leopard,valid,mask,pic,leopard,right,right,right,right,708.932029549,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,22,rabbit,invalid,nomask,word,alligator,right,down,up,up,868.684602436,0
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,23,gorilla,valid,mask,pic,gorilla,right,right,right,right,858.719011769,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,24,elephant,valid,mask,pic,elephant,left,left,left,left,743.201510981,1
MOW303,303,2015_Nov_24_1431,LL-Kramer,0,test,25,deer,valid,mask,pic,deer,right,right,right,right,674.908695277,1
