"MWP","SubjectID","Seed","Room","Date","ExpInitials","Compliance","Notes"
"modality-blocked","ODM301",301,"Kramer","11/9/2015","JR","5",""
"modality-blocked","ODM302",302,"George","11/9/2015","JR","4","Pulled out phone during break"
"modality-blocked","ODM303",303,"Elaine","11/9/2015","JR","5",""
"modality-blocked","ODM304",304,"Jerry","11/9/2015","JR","5",""
"modality-blocked","ODM305",305,"Kramer","11/9/2015","JR","5",""
"modality-blocked","ODM306",306,"George","11/9/2015","JR","5",""
"modality-blocked","ODM307",307,"Elaine","11/9/2015","JR","5",""
"modality-blocked","ODM308",308,"Jerry","11/9/2015","JR","5",""
"modality-blocked","ODM309",309,"Kramer","11/9/2015","DZ","3","nodding off"
"modality-blocked","ODM310",310,"George","11/9/2015","DZ","5",""
"modality-blocked","ODM311",311,"Elaine","11/9/2015","DZ","5",""
"modality-blocked","ODM312",312,"Jerry","11/9/2015","DZ","5",""
"modality-blocked","ODM313",313,"Kramer","11/9/2015","JR","5",""
"modality-blocked","ODM314",314,"George","11/9/2015","JR","5",""
"modality-blocked","ODM315",315,"Elaine","11/9/2015","JR","5",""
"modality-blocked","ODM316",316,"Jerry","11/9/2015","JR","3","late, drowsy, closed eyes between almost every trial"
"modality-blocked","ODM317",317,"Kramer","11/10/2015","NS","5",""
"modality-blocked","ODM318",318,"George","11/10/2015","NS","5",""
"modality-blocked","ODM319",319,"Elaine","11/10/2015","NS","5",""
"modality-blocked","ODM320",320,"Jerry","11/10/2015","NS","5",""
"modality-blocked","ODM321",321,"Elaine","11/10/2015","NS","5",""
"modality-blocked","ODM322",322,"George","11/10/2015","NS","5",""
"modality-blocked","ODM323",323,"Kramer","11/10/2015","NS","5",""
"modality-blocked","ODM324",324,"George","11/10/2015","NS","5",""
"modality-blocked","ODM325",325,"Elaine","11/10/2015","NS","5",""
"modality-blocked","ODM326",326,"Jerry","11/10/2015","NS","5","no time for survey "
"modality-blocked","ODM327",327,"Kramer","11/10/2015","JR","5",""
"modality-blocked","ODM328",328,"George","11/10/2015","JR","5",""
"modality-blocked","ODM329",329,"Elaine","11/10/2015","JR","4","drowsy, pulled out phone once during break "
"modality-blocked","ODM330",330,"Jerry","11/10/2015","JR","5",""
"modality-blocked","ODM331",331,"Kramer","11/10/2015","JR","5",""
"modality-blocked","ODM332",332,"George","11/10/2015","JR","5",""
"modality-blocked","ODM333",333,"Elaine","11/10/2015","JR","5",""
"modality-blocked","ODM334",334,"Jerry","11/10/2015","JR","5",""
"modality-blocked","ODM335",335,"Kramer","11/11/2015","NS","5",""
"modality-blocked","ODM336",336,"Elaine","11/11/2015","NS","5",""
"modality-blocked","ODM337",337,"Jerry","11/11/2015","NS","5",""
"modality-blocked","ODM338",338,"Kramer","11/11/2015","NS","5",""
"modality-blocked","ODM339",339,"Elaine","11/11/2015","NS","5",""
"modality-blocked","ODM340",340,"George","11/11/2015","NS","5",""
"modality-blocked","ODM341",341,"Jerry","11/11/2015","NS","5",""
"modality-blocked","ODM342",342,"Kramer","11/11/2015","SK","5",""
"modality-blocked","ODM343",343,"George","11/11/2015","SK","5",""
"modality-blocked","ODM344a",344,"Elaine","11/11/2015","SK","5","grad student had to use the computer so we crashed 344 on purpose"
"modality-blocked","ODM345",345,"Jerry","11/11/2015","SK","5",""
"modality-blocked","ODM346",346,"Kramer","11/11/2015","SK","5",""
"modality-blocked","ODM347",347,"George","11/11/2015","SK","5",""
