block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,mask_type,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,valid,1,0,left,nomask,pear,166,3,pear_3.wav,pear,166,pear.bmp
-1,-9,noise,-1,0,left,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
-1,-8,noise,-1,1,right,auditory,noise,-1,1,noise.wav,bottle,32,bottle.bmp
-1,-7,noise,-1,1,right,visual,noise,-1,1,noise.wav,swan,223,swan.bmp
-1,-6,noise,-1,0,left,nomask,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
-1,-5,valid,1,0,right,nomask,rabbit,182,1,rabbit_1.wav,rabbit,182,rabbit.bmp
-1,-4,valid,1,0,right,nomask,pig,172,3,pig_3.wav,pig,172,pig.bmp
-1,-3,noise,-1,0,left,nomask,noise,-1,1,noise.wav,apple,6,apple.bmp
-1,-2,valid,1,0,right,nomask,donkey,75,4,donkey_4.wav,donkey,75,donkey.bmp
-1,-1,valid,1,1,left,auditory,wine_glass,258,1,wine_glass_1.wav,wine_glass,258,wine_glass.bmp
0,0,noise,-1,0,right,nomask,noise,-1,1,noise.wav,pear,166,pear.bmp
0,1,invalid,0,0,right,nomask,wine_glass,258,4,wine_glass_4.wav,lion,140,lion.bmp
0,2,valid,1,0,left,nomask,apple,6,3,apple_3.wav,apple,6,apple.bmp
0,3,valid,1,1,left,visual,donkey,75,1,donkey_1.wav,donkey,75,donkey.bmp
0,4,noise,-1,1,left,visual,noise,-1,1,noise.wav,pig,172,pig.bmp
0,5,noise,-1,1,left,visual,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,6,invalid,0,1,right,visual,donkey,75,2,donkey_2.wav,pig,172,pig.bmp
0,7,noise,-1,0,right,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
0,8,noise,-1,1,left,visual,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,9,noise,-1,1,right,visual,noise,-1,1,noise.wav,lion,140,lion.bmp
0,10,noise,-1,1,right,visual,noise,-1,1,noise.wav,bottle,32,bottle.bmp
0,11,valid,1,1,right,visual,lion,140,1,lion_1.wav,lion,140,lion.bmp
0,12,valid,1,1,right,visual,rabbit,182,2,rabbit_2.wav,rabbit,182,rabbit.bmp
0,13,valid,1,1,right,visual,pear,166,4,pear_4.wav,pear,166,pear.bmp
0,14,noise,-1,0,left,nomask,noise,-1,1,noise.wav,apple,6,apple.bmp
0,15,valid,1,0,left,nomask,strawberry,220,2,strawberry_2.wav,strawberry,220,strawberry.bmp
0,16,valid,1,0,right,nomask,swan,223,1,swan_1.wav,swan,223,swan.bmp
0,17,noise,-1,0,right,nomask,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,18,valid,1,0,left,nomask,pear,166,4,pear_4.wav,pear,166,pear.bmp
0,19,noise,-1,0,right,nomask,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,20,invalid,0,1,right,visual,lion,140,2,lion_2.wav,swan,223,swan.bmp
0,21,noise,-1,1,left,visual,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,22,invalid,0,0,left,nomask,wine_glass,258,2,wine_glass_2.wav,pig,172,pig.bmp
0,23,valid,1,0,right,nomask,bottle,32,4,bottle_4.wav,bottle,32,bottle.bmp
0,24,noise,-1,0,left,nomask,noise,-1,1,noise.wav,pig,172,pig.bmp
0,25,noise,-1,0,left,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
0,26,valid,1,1,right,visual,strawberry,220,4,strawberry_4.wav,strawberry,220,strawberry.bmp
0,27,valid,1,1,right,visual,swan,223,1,swan_1.wav,swan,223,swan.bmp
0,28,valid,1,1,left,visual,pear,166,1,pear_1.wav,pear,166,pear.bmp
0,29,noise,-1,1,right,visual,noise,-1,1,noise.wav,lion,140,lion.bmp
0,30,valid,1,1,left,visual,donkey,75,4,donkey_4.wav,donkey,75,donkey.bmp
0,31,noise,-1,0,left,nomask,noise,-1,1,noise.wav,pig,172,pig.bmp
