block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,mask_type,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,valid,1,1,right,visual,alligator,3,2,alligator_2.wav,alligator,3,alligator.bmp
-1,-9,nocue,-1,1,left,visual,noise,-1,1,noise.wav,raccoon,183,raccoon.bmp
-1,-8,invalid,0,0,right,nomask,elephant,84,3,elephant_3.wav,camel,43,camel.bmp
-1,-7,invalid,0,0,right,nomask,kangaroo,126,2,kangaroo_2.wav,mouse,149,mouse.bmp
-1,-6,nocue,-1,1,left,auditory,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
-1,-5,valid,1,1,right,visual,skunk,206,1,skunk_1.wav,skunk,206,skunk.bmp
-1,-4,valid,1,1,left,auditory,kangaroo,126,2,kangaroo_2.wav,kangaroo,126,kangaroo.bmp
-1,-3,nocue,-1,1,left,visual,noise,-1,1,noise.wav,tomato,236,tomato.bmp
-1,-2,valid,1,0,right,nomask,elephant,84,3,elephant_3.wav,elephant,84,elephant.bmp
-1,-1,valid,1,0,right,nomask,tree,241,3,tree_3.wav,tree,241,tree.bmp
0,0,valid,1,0,left,nomask,kangaroo,126,2,kangaroo_2.wav,kangaroo,126,kangaroo.bmp
0,1,valid,1,0,left,nomask,mouse,149,2,mouse_2.wav,mouse,149,mouse.bmp
0,2,valid,1,0,right,nomask,raccoon,183,3,raccoon_3.wav,raccoon,183,raccoon.bmp
0,3,valid,1,0,left,nomask,tree,241,1,tree_1.wav,tree,241,tree.bmp
0,4,nocue,-1,1,left,visual,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,5,nocue,-1,1,right,auditory,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,6,nocue,-1,0,left,nomask,noise,-1,1,noise.wav,alligator,3,alligator.bmp
0,7,nocue,-1,1,right,visual,noise,-1,1,noise.wav,elephant,84,elephant.bmp
0,8,nocue,-1,0,left,nomask,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,9,valid,1,0,right,nomask,elephant,84,2,elephant_2.wav,elephant,84,elephant.bmp
0,10,valid,1,1,left,auditory,tree,241,4,tree_4.wav,tree,241,tree.bmp
0,11,valid,1,0,left,nomask,camel,43,3,camel_3.wav,camel,43,camel.bmp
0,12,valid,1,0,right,nomask,raccoon,183,2,raccoon_2.wav,raccoon,183,raccoon.bmp
0,13,nocue,-1,0,left,nomask,noise,-1,1,noise.wav,mouse,149,mouse.bmp
0,14,valid,1,1,right,auditory,kangaroo,126,3,kangaroo_3.wav,kangaroo,126,kangaroo.bmp
0,15,valid,1,1,right,visual,tomato,236,2,tomato_2.wav,tomato,236,tomato.bmp
0,16,nocue,-1,0,right,nomask,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
